test_run,participant_count,median_distance,q25_distance,q75_distance,minimum_distance,maximum_distance,analysis_role
6,86,4.3277673873698275,3.6848757664722034,5.8593543426538055,2.666883501021763,10.583185220620061,post_hoc_label_independent_run_shift
10,86,3.998959681428581,3.2082938433513046,5.200193071066448,2.570981083670828,9.046215455463583,post_hoc_label_independent_run_shift
14,86,4.183253242895306,3.553608866193877,5.650346018693896,2.705098466363976,11.476452181173332,post_hoc_label_independent_run_shift
