subject,calibration_run,condition,balanced_accuracy,fists_recall,feet_recall,test_trial_count,test_offset_before,test_offset_after_B,test_alignment_before,test_alignment_after_C
21,6,A,0.53125,0.0625,1.0,30,12.967330940059897,,-0.026704686042912654,
21,6,B,0.5580357142857143,0.6875,0.42857142857142855,30,12.967330940059897,5.968095981327546,-0.026704686042912654,
21,6,C,0.5357142857142857,0.5,0.5714285714285714,30,12.967330940059897,,-0.026704686042912654,0.5400874641643179
21,10,A,0.53125,0.0625,1.0,30,11.086745926723081,,0.01933900114628054,
21,10,B,0.625,0.75,0.5,30,11.086745926723081,3.482147503410643,0.01933900114628054,
21,10,C,0.59375,0.6875,0.5,30,11.086745926723081,,0.01933900114628054,0.4508004795024584
21,14,A,0.5,0.0,1.0,30,11.674529645927844,,-0.006866519829311354,
21,14,B,0.6071428571428572,0.5,0.7142857142857143,30,11.674529645927844,5.228198835941866,-0.006866519829311354,
21,14,C,0.5625,0.625,0.5,30,11.674529645927844,,-0.006866519829311354,0.6754502831560274
22,6,A,0.5133928571428572,0.7142857142857143,0.3125,30,6.623412358343174,,0.1304202790142036,
22,6,B,0.5044642857142857,0.5714285714285714,0.4375,30,6.623412358343174,3.4555041495540144,0.1304202790142036,
22,6,C,0.6339285714285714,0.6428571428571429,0.625,30,6.623412358343174,,0.1304202790142036,0.19903855122723385
22,10,A,0.5089285714285714,0.6428571428571429,0.375,30,6.545004384898943,,0.09690737998408964,
22,10,B,0.5401785714285714,0.6428571428571429,0.4375,30,6.545004384898943,3.0582992153151087,0.09690737998408964,
22,10,C,0.6205357142857143,0.42857142857142855,0.8125,30,6.545004384898943,,0.09690737998408964,0.14924520482754308
22,14,A,0.5401785714285714,0.6428571428571429,0.4375,30,6.698076432066038,,0.08230080040459256,
22,14,B,0.5580357142857143,0.42857142857142855,0.6875,30,6.698076432066038,3.0035441204797046,0.08230080040459256,
22,14,C,0.6160714285714286,0.8571428571428571,0.375,30,6.698076432066038,,0.08230080040459256,0.20723311170096653
23,6,A,0.5491071428571428,0.8125,0.2857142857142857,30,6.101481013467872,,0.1288195849079371,
23,6,B,0.4910714285714286,0.625,0.35714285714285715,30,6.101481013467872,2.45785656911367,0.1288195849079371,
23,6,C,0.6428571428571428,0.5,0.7857142857142857,30,6.101481013467872,,0.1288195849079371,0.13036097486462175
23,10,A,0.6333333333333333,0.7333333333333333,0.5333333333333333,30,5.843822256896687,,0.0878207155553561,
23,10,B,0.6,0.4666666666666667,0.7333333333333333,30,5.843822256896687,2.0676332606839125,0.0878207155553561,
23,10,C,0.5666666666666667,0.8,0.3333333333333333,30,5.843822256896687,,0.0878207155553561,0.09775654299882826
23,14,A,0.7333333333333334,0.9333333333333333,0.5333333333333333,30,5.956148545001356,,0.33549314152907794,
23,14,B,0.7333333333333334,0.9333333333333333,0.5333333333333333,30,5.956148545001356,2.3428365141796808,0.33549314152907794,
23,14,C,0.3666666666666667,0.4666666666666667,0.26666666666666666,30,5.956148545001356,,0.33549314152907794,-0.08481116448805116
24,6,A,0.5,0.0,1.0,30,15.461452216991143,,-0.0019359707045297236,
24,6,B,0.46875,0.0,0.9375,30,15.461452216991143,6.10736749781501,-0.0019359707045297236,
24,6,C,0.65625,0.5,0.8125,30,15.461452216991143,,-0.0019359707045297236,0.31848109819006964
24,10,A,0.5,0.0,1.0,30,14.870023126947265,,0.08895864309935539,
24,10,B,0.5666666666666667,0.7333333333333333,0.4,30,14.870023126947265,3.5375975412282097,0.08895864309935539,
24,10,C,0.5333333333333333,0.5333333333333333,0.5333333333333333,30,14.870023126947265,,0.08895864309935539,0.21364110867814065
24,14,A,0.5,0.0,1.0,30,15.152235069310624,,-0.03608178925930624,
24,14,B,0.5333333333333333,0.7333333333333333,0.3333333333333333,30,15.152235069310624,3.461366630269648,-0.03608178925930624,
24,14,C,0.6,0.4666666666666667,0.7333333333333333,30,15.152235069310624,,-0.03608178925930624,0.23314887162692574
25,6,A,0.5446428571428572,0.375,0.7142857142857143,30,6.398986601124439,,0.14182110601833153,
