affine_invariant_covariance_distance,analysis_role,channel_count,covariance_estimator,labels_used_for_distance,source_edf_count,subject,test_observation_count,test_run,test_trial_count,trace_normalized,train_observation_count,train_trial_count,training_runs,held_out_balanced_accuracy
3.554887481169843,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,31,4800,14,15,False,9600,30,6/10,0.7410714285714286
6.941768902388333,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,32,4800,6,15,False,9600,30,10/14,0.6696428571428572
7.41436050699008,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,32,4800,10,15,False,9600,30,6/14,0.3839285714285714
8.684779416624945,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,32,4800,14,15,False,9600,30,6/10,0.5
3.540538316834853,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,33,4800,6,15,False,9600,30,10/14,0.7410714285714286
3.7764500956654983,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,33,4800,10,15,False,9600,30,6/14,0.6607142857142857
4.440753104075226,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,33,4800,14,15,False,9600,30,6/10,0.5892857142857143
3.5406901285680865,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,34,4480,6,14,False,8960,28,10/14,1.0
3.201195754215262,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,34,4480,10,14,False,8960,28,6/14,0.7142857142857143
5.818987483114154,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,34,4480,14,14,False,8960,28,6/10,0.9285714285714286
6.323155699984988,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,35,4800,6,15,False,9600,30,10/14,1.0
5.086814552296786,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,35,4800,10,15,False,9600,30,6/14,0.8571428571428572
4.984588718584085,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,35,4800,14,15,False,9600,30,6/10,1.0
3.698138291042587,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,36,4800,6,15,False,9600,30,10/14,0.7857142857142857
3.345456513207491,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,36,4800,10,15,False,9600,30,6/14,0.8660714285714286
3.5718786046906956,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,36,4800,14,15,False,9600,30,6/10,0.6696428571428572
6.682212962799124,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,37,4480,6,14,False,8960,28,10/14,0.5714285714285714
5.306193651749264,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,37,4480,10,14,False,8960,28,6/14,0.5
6.248603128041938,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,37,4480,14,14,False,8960,28,6/10,0.7857142857142857
6.518815559694563,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,38,4800,6,15,False,9600,30,10/14,0.5
5.220013789984049,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,38,4800,10,15,False,9600,30,6/14,0.5446428571428572
3.9030211084525073,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,38,4800,14,15,False,9600,30,6/10,0.5357142857142857
5.875898505520678,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,39,4800,6,15,False,9600,30,10/14,0.5625
3.1665733475959303,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,39,4800,10,15,False,9600,30,6/14,0.6785714285714286
3.4796260057864807,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,39,4800,14,15,False,9600,30,6/10,0.5892857142857143
3.2728657298003663,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,40,4800,6,15,False,9600,30,10/14,0.5
2.845379160133722,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,40,4800,10,15,False,9600,30,6/14,0.5803571428571428
3.332273534662352,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,40,4800,14,15,False,9600,30,6/10,0.6428571428571428
4.052201015595839,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,41,4480,6,14,False,8960,28,10/14,0.5714285714285714
4.1088550613256265,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,41,4480,10,14,False,8960,28,6/14,0.5
5.227036119961515,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,41,4480,14,14,False,8960,28,6/10,0.5714285714285714
3.3624404978054794,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,42,4800,6,15,False,9600,30,10/14,1.0
3.83629970246005,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,42,4800,10,15,False,9600,30,6/14,1.0
4.178078825556756,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,42,4800,14,15,False,9600,30,6/10,0.9375
6.3999140600924225,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,43,4800,6,15,False,9600,30,10/14,0.8571428571428572
2.976692512818568,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,43,4800,10,15,False,9600,30,6/14,1.0
3.772605532338467,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,43,4800,14,15,False,9600,30,6/10,1.0
4.3019308904419775,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,44,4800,6,15,False,9600,30,10/14,0.8035714285714286
4.322989678055887,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,44,4800,10,15,False,9600,30,6/14,0.6607142857142857
3.553182661201889,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,44,4800,14,15,False,9600,30,6/10,0.8035714285714286
7.001552533496109,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,45,4800,6,15,False,9600,30,10/14,0.5
5.349762158178962,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,45,4800,10,15,False,9600,30,6/14,0.5803571428571428
5.970175822438703,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,45,4800,14,15,False,9600,30,6/10,0.6696428571428572
2.6959858216066483,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,46,4800,6,15,False,9600,30,10/14,0.7321428571428572
2.570981083670828,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,46,4800,10,15,False,9600,30,6/14,0.6785714285714286
2.705098466363976,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,46,4800,14,15,False,9600,30,6/10,0.6607142857142857
4.425633715226662,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,47,4800,6,15,False,9600,30,10/14,0.35714285714285715
4.068683236395807,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,47,4800,10,15,False,9600,30,6/14,0.3392857142857143
4.714600809322941,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,47,4800,14,15,False,9600,30,6/10,0.5892857142857143
5.809721854053188,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,48,4800,6,15,False,9600,30,10/14,0.7946428571428572
7.263638573506243,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,48,4800,10,15,False,9600,30,6/14,0.7232142857142857
8.800137106902936,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,48,4800,14,15,False,9600,30,6/10,0.8571428571428572
6.748602672399871,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,49,4800,6,15,False,9600,30,10/14,0.7321428571428572
5.165459162263468,post_hoc_label_independent_run_shift,64,LedoitWolf_assume_centered_after_trial_demeaning,False,3,49,4800,10,15,False,9600,30,6/14,0.5714285714285714
