method,calibration_size,participant_count,median_balanced_accuracy,bootstrap_median_ci_lower,bootstrap_median_ci_upper,q25_balanced_accuracy,q75_balanced_accuracy,above_0_5_count,above_0_5_fraction,at_or_above_0_6_count,at_or_above_0_6_fraction,at_or_above_0_7_count,at_or_above_0_7_fraction,median_fists_recall,median_feet_recall,median_gain_over_matched_zero,q25_gain_over_matched_zero,q75_gain_over_matched_zero,improved_count,worsened_count,tie_count,one_sided_exact_sign_p,improved_fraction,QC_cohort_median_balanced_accuracy,median_paired_QC_minus_primary_balanced_accuracy,group_observational_unit,convincing_benefit
threshold,0,86,0.5699404761904762,0.5491071428571428,0.5967261904761905,0.5052083333333334,0.6413690476190476,65,0.7558139534883721,32,0.37209302325581395,14,0.16279069767441862,0.7619047619047619,0.599802371541502,0.0,0.0,0.0,0,0,86,1.0,0.0,0.5684523809523809,0.0,participant,False
threshold,4,86,0.6063988095238095,0.5796130952380952,0.6428571428571429,0.5279017857142857,0.6867559523809524,72,0.8372093023255814,47,0.5465116279069767,20,0.23255813953488372,0.6363636363636364,0.6111660079051384,0.007440476190476164,-0.03497023809523808,0.06956845238095244,46,39,1,0.2577128659419502,0.5348837209302325,0.6120535714285714,0.0009920634920634885,participant,False
threshold,8,86,0.6168154761904763,0.5669642857142857,0.6584821428571429,0.5182291666666667,0.7154017857142857,70,0.813953488372093,45,0.5232558139534884,23,0.26744186046511625,0.6521739130434783,0.6443452380952381,0.0022321428571427937,-0.03683035714285714,0.07924107142857148,44,42,0,0.457105818541225,0.5116279069767442,0.6227678571428572,0.00024801587301587213,participant,False
threshold,12,86,0.6145833333333334,0.5773809523809523,0.6555059523809523,0.5133928571428571,0.7213541666666665,69,0.8023255813953488,46,0.5348837209302325,26,0.3023255813953488,0.6590909090909091,0.650974025974026,0.007440476190476164,-0.03571428571428574,0.09151785714285723,45,39,2,0.2928233973606128,0.5232558139534884,0.610813492063492,0.0,participant,False
threshold,14,86,0.613095238095238,0.5766369047619049,0.6517857142857143,0.5264136904761905,0.7165178571428571,71,0.8255813953488372,44,0.5116279069767442,24,0.27906976744186046,0.6363636363636364,0.6556324110671936,0.0074404761904762196,-0.04203869047619052,0.07961309523809518,45,40,1,0.33232274520660665,0.5232558139534884,0.6249503968253968,0.0,participant,False
