condition,median_BA,q25,q75,minimum,maximum,above_0_5,at_least_0_6,at_least_0_7,median_fists_recall,median_feet_recall
A,0.5959821428571429,0.5252976190476191,0.6796874999999999,0.38095238095238093,0.9776785714285715,0.8255813953488372,0.47674418604651164,0.20930232558139536,0.5952380952380952,0.6428571428571428
B,0.5952380952380952,0.5357142857142857,0.7105654761904763,0.43154761904761907,0.9895833333333334,0.8488372093023255,0.45348837209302323,0.27906976744186046,0.6041666666666666,0.6547619047619048
C,0.6607142857142858,0.5602678571428571,0.7775297619047619,0.4047619047619047,0.9791666666666666,0.8488372093023255,0.6627906976744186,0.43023255813953487,0.6904761904761905,0.6875
