comparison,observational_unit,median,q25,q75,minimum,maximum,n
within_subject_different_task_distance,participant_mean,2.7836190142971065,2.4250982166554116,3.064956399475723,1.9947117398709875,5.466011520770972,86
different_subject_same_task_distance,participant_mean,9.70469895206019,9.197073416148285,10.65447805556777,8.217981896921641,16.29989142240962,86
different_subject_different_task_distance,participant_mean,9.719308266362212,9.20854929572006,10.702645400674044,8.230388167643845,16.297412434151244,86
same_subject_same_task_across_runs_distance,participant_mean,3.9510040035986482,3.390910838261355,4.52474206163664,2.334469485286544,6.739615192635501,86
