development_fold,subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,training_subjects,target_adaptation_used
3,3,shrinkage_lda,10,0.41964285714285715,0.4,0.7142857142857143,0.125,5,2,7,1,15,True,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,shrinkage_lda,14,0.625,0.6,1.0,0.25,7,0,6,2,15,True,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,l2_logistic_regression,6,0.41964285714285715,0.4,0.7142857142857143,0.125,5,2,7,1,15,False,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,l2_logistic_regression,10,0.49107142857142855,0.4666666666666667,0.8571428571428571,0.125,6,1,7,1,15,False,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,l2_logistic_regression,14,0.5625,0.5333333333333333,1.0,0.125,7,0,7,1,15,False,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,l2_logistic_regression,6,0.41964285714285715,0.4,0.7142857142857143,0.125,5,2,7,1,15,True,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,l2_logistic_regression,10,0.49107142857142855,0.4666666666666667,0.8571428571428571,0.125,6,1,7,1,15,True,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,l2_logistic_regression,14,0.5625,0.5333333333333333,1.0,0.125,7,0,7,1,15,True,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,shrinkage_lda,6,0.7410714285714286,0.7333333333333333,0.625,0.8571428571428571,5,3,1,6,15,False,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,shrinkage_lda,10,0.4642857142857143,0.4666666666666667,0.42857142857142855,0.5,3,4,4,4,15,False,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
