subject,method,similarity_run_6_vs_10,similarity_run_6_vs_14,similarity_run_10_vs_14,mean_pairwise_subspace_similarity,minimum_pairwise_subspace_similarity,sign_order_and_rotation_invariant,analysis_role
1,target_csp_empirical,0.3455773519476459,0.32574979794712416,0.2957745999213617,0.3223672499387106,0.2957745999213617,True,post_primary_exploratory_stability
1,target_csp_ledoit_wolf,0.3636263777597202,0.30563194916044906,0.3226843379223088,0.3306475549474927,0.30563194916044906,True,post_primary_exploratory_stability
2,target_csp_empirical,0.1752981821172185,0.1720483484475421,0.3587676674945697,0.2353713993531101,0.1720483484475421,True,post_primary_exploratory_stability
2,target_csp_ledoit_wolf,0.13525042964643214,0.07546937585683065,0.34792482719518436,0.18621487756614905,0.07546937585683065,True,post_primary_exploratory_stability
3,target_csp_empirical,0.31429756100918005,0.3601234547040232,0.36668871881004195,0.3470365781744151,0.31429756100918005,True,post_primary_exploratory_stability
3,target_csp_ledoit_wolf,0.1309386140977948,0.06539634401598854,0.12398760441969353,0.10677418751115897,0.06539634401598854,True,post_primary_exploratory_stability
4,target_csp_empirical,0.19211444235041783,0.14207727792331604,0.1601813582182086,0.16479102616398084,0.14207727792331604,True,post_primary_exploratory_stability
4,target_csp_ledoit_wolf,0.1511417310551067,0.10691639862516195,0.12784715777472977,0.1286350958183328,0.10691639862516195,True,post_primary_exploratory_stability
5,target_csp_empirical,0.20230371736407982,0.11173636548195703,0.18769873672140447,0.1672462731891471,0.11173636548195703,True,post_primary_exploratory_stability
5,target_csp_ledoit_wolf,0.06836817291418157,0.07773871725936793,0.16928520525950339,0.1051306984776843,0.06836817291418157,True,post_primary_exploratory_stability
6,target_csp_empirical,0.21310960047677674,0.1468906422709934,0.11794481123292908,0.1593150179935664,0.11794481123292908,True,post_primary_exploratory_stability
6,target_csp_ledoit_wolf,0.048948221889208186,0.11432998588959063,0.1347621608441194,0.09934678954097274,0.048948221889208186,True,post_primary_exploratory_stability
7,target_csp_empirical,0.29164399030284327,0.10561176153618124,0.1940082862383849,0.1970880126924698,0.10561176153618124,True,post_primary_exploratory_stability
7,target_csp_ledoit_wolf,0.4285623418025264,0.11092939374315797,0.1285199378427868,0.22267055779615705,0.11092939374315797,True,post_primary_exploratory_stability
8,target_csp_empirical,0.2074947061717854,0.18254013436765873,0.2719379046166183,0.22065758171868746,0.18254013436765873,True,post_primary_exploratory_stability
8,target_csp_ledoit_wolf,0.43623032849517607,0.3514839947576389,0.4283315374764197,0.4053486202430783,0.3514839947576389,True,post_primary_exploratory_stability
9,target_csp_empirical,0.1454361726221885,0.12496466203827765,0.13955751034794897,0.1366527816694717,0.12496466203827765,True,post_primary_exploratory_stability
9,target_csp_ledoit_wolf,0.06830502979678567,0.10329632249613746,0.10220617309834812,0.09126917513042375,0.06830502979678567,True,post_primary_exploratory_stability
10,target_csp_empirical,0.10605455506702413,0.14134621281561421,0.15026493050871778,0.1325552327971187,0.10605455506702413,True,post_primary_exploratory_stability
10,target_csp_ledoit_wolf,0.09656466983990654,0.12973817556747974,0.15278505602929976,0.12636263381222868,0.09656466983990654,True,post_primary_exploratory_stability
11,target_csp_empirical,0.11641572996871388,0.19978473639491268,0.14345569046017265,0.1532187189412664,0.11641572996871388,True,post_primary_exploratory_stability
11,target_csp_ledoit_wolf,0.05644748750961032,0.17388415932606144,0.08867245125699258,0.10633469936422145,0.05644748750961032,True,post_primary_exploratory_stability
12,target_csp_empirical,0.12470387860365864,0.13875150979218184,0.26708241806112976,0.17684593548565675,0.12470387860365864,True,post_primary_exploratory_stability
12,target_csp_ledoit_wolf,0.1784541645984502,0.1743364463839228,0.23219554385710311,0.19499538494649205,0.1743364463839228,True,post_primary_exploratory_stability
13,target_csp_empirical,0.23849394418691758,0.14991694764879246,0.16975438411207258,0.1860550919825942,0.14991694764879246,True,post_primary_exploratory_stability
13,target_csp_ledoit_wolf,0.1127086020368981,0.1360817207058702,0.08008003585262724,0.10962345286513185,0.08008003585262724,True,post_primary_exploratory_stability
14,target_csp_empirical,0.26717314872203246,0.31218753602000326,0.31367651501672045,0.29767906658625204,0.26717314872203246,True,post_primary_exploratory_stability
14,target_csp_ledoit_wolf,0.05969485081627353,0.12153944104998712,0.15108313176324709,0.11077247454316926,0.05969485081627353,True,post_primary_exploratory_stability
15,target_csp_empirical,0.374682364545024,0.32904117557777546,0.3156122787612847,0.33977860629469475,0.3156122787612847,True,post_primary_exploratory_stability
15,target_csp_ledoit_wolf,0.07000043597459728,0.1276528301713802,0.15687346588760426,0.11817557734452726,0.07000043597459728,True,post_primary_exploratory_stability
16,target_csp_empirical,0.15275552812427312,0.07742029490205043,0.09537164241319135,0.10851582181317164,0.07742029490205043,True,post_primary_exploratory_stability
16,target_csp_ledoit_wolf,0.0922304120955397,0.02927128000466987,0.04638880152235951,0.055963497874189694,0.02927128000466987,True,post_primary_exploratory_stability
17,target_csp_empirical,0.2318124821846455,0.2370999111682775,0.2825279269930585,0.25048010678199384,0.2318124821846455,True,post_primary_exploratory_stability
17,target_csp_ledoit_wolf,0.1759924281261853,0.06659411491552217,0.13058538506842754,0.12439064270337834,0.06659411491552217,True,post_primary_exploratory_stability
