relationship,n,independent_unit_count,statistic,statistic_type,p_value,p_value_method,analysis_role
within_subject_run_shift_vs_fold_accuracy,258,86,-0.014680250947734143,participant_centered_Pearson_r,0.8192180781921807,10000_accuracy_permutations_within_subject,post_hoc_exploratory_noncausal
subject_mean_run_shift_vs_subject_mean_accuracy,86,86,-0.19104680495136442,Spearman_rho,0.07806280626420872,two_sided_asymptotic,post_hoc_exploratory_noncausal
