subject,method,qc_sensitivity,primary_mean_scenario_test_run_balanced_accuracy,scenario_test_run_balanced_accuracy_range,pooled_accuracy,fists_recall,feet_recall,trial_prediction_appearances,group_observational_unit
21,source_zero_shot,False,0.5595238095238095,0.125,0.5333333333333333,0.16666666666666666,0.9523809523809523,90,participant
21,source_zero_shot,True,0.5416666666666666,0.125,0.5,0.09523809523809523,1.0,76,participant
21,source_csp_target_lda_source_scaler,False,0.5148809523809522,0.2053571428571428,0.5222222222222223,0.625,0.40476190476190477,90,participant
21,source_csp_target_lda_source_scaler,True,0.5123015873015873,0.2053571428571428,0.5394736842105263,0.6666666666666666,0.38235294117647056,76,participant
21,target_csp_ledoit_wolf,False,0.53125,0.3214285714285714,0.5222222222222223,0.3958333333333333,0.6666666666666666,90,participant
21,target_csp_ledoit_wolf,True,0.5112103174603175,0.3273809523809524,0.5,0.42857142857142855,0.5882352941176471,76,participant
22,source_zero_shot,False,0.49404761904761907,0.0535714285714286,0.4888888888888889,0.5714285714285714,0.4166666666666667,90,participant
22,source_zero_shot,True,0.43611111111111106,0.04583333333333334,0.43902439024390244,0.47058823529411764,0.4166666666666667,82,participant
22,source_csp_target_lda_source_scaler,False,0.4761904761904762,0.40178571428571436,0.4777777777777778,0.4523809523809524,0.5,90,participant
22,source_csp_target_lda_source_scaler,True,0.4888888888888889,0.3875,0.4878048780487805,0.47058823529411764,0.5,82,participant
22,target_csp_ledoit_wolf,False,0.6279761904761905,0.1339285714285714,0.6111111111111112,0.8809523809523809,0.375,90,participant
22,target_csp_ledoit_wolf,True,0.6180555555555556,0.14583333333333326,0.573170731707317,0.8529411764705882,0.375,82,participant
23,source_zero_shot,False,0.6428571428571428,0.2589285714285715,0.6444444444444445,0.6086956521739131,0.6818181818181818,90,participant
23,source_zero_shot,True,0.6706349206349206,0.3214285714285715,0.6666666666666666,0.631578947368421,0.7,78,participant
23,source_csp_target_lda_source_scaler,False,0.5833333333333334,0.4821428571428572,0.5777777777777777,0.6086956521739131,0.5454545454545454,90,participant
23,source_csp_target_lda_source_scaler,True,0.611111111111111,0.36904761904761907,0.6153846153846154,0.6842105263157895,0.55,78,participant
23,target_csp_ledoit_wolf,False,0.5714285714285715,0.1517857142857143,0.5777777777777777,0.4782608695652174,0.6818181818181818,90,participant
23,target_csp_ledoit_wolf,True,0.5992063492063492,0.2142857142857143,0.5897435897435898,0.47368421052631576,0.7,78,participant
24,source_zero_shot,False,0.4136904761904761,0.026785714285714246,0.4,0.3181818181818182,0.4782608695652174,90,participant
24,source_zero_shot,True,0.4136904761904761,0.026785714285714246,0.4,0.3181818181818182,0.4782608695652174,90,participant
24,source_csp_target_lda_source_scaler,False,0.4970238095238095,0.1607142857142857,0.5111111111111111,0.36363636363636365,0.6521739130434783,90,participant
24,source_csp_target_lda_source_scaler,True,0.4970238095238095,0.1607142857142857,0.5111111111111111,0.36363636363636365,0.6521739130434783,90,participant
24,target_csp_ledoit_wolf,False,0.48065476190476186,0.2410714285714286,0.5,0.5454545454545454,0.45652173913043476,90,participant
24,target_csp_ledoit_wolf,True,0.48065476190476186,0.2410714285714286,0.5,0.5454545454545454,0.45652173913043476,90,participant
25,source_zero_shot,False,0.5625,0.125,0.5333333333333333,0.125,1.0,90,participant
25,source_zero_shot,True,0.5654761904761905,0.125,0.5405405405405406,0.10526315789473684,1.0,74,participant
25,source_csp_target_lda_source_scaler,False,0.7827380952380952,0.1875,0.7777777777777778,0.7083333333333334,0.8571428571428571,90,participant
25,source_csp_target_lda_source_scaler,True,0.785218253968254,0.25,0.7972972972972973,0.7631578947368421,0.8333333333333334,74,participant
25,target_csp_ledoit_wolf,False,0.6160714285714285,0.25,0.6,0.375,0.8571428571428571,90,participant
25,target_csp_ledoit_wolf,True,0.5982142857142857,0.26190476190476186,0.6081081081081081,0.39473684210526316,0.8333333333333334,74,participant
26,source_zero_shot,False,0.5357142857142857,0.1071428571428572,0.5333333333333333,0.5714285714285714,0.5,90,participant
26,source_zero_shot,True,0.5555555555555556,0.16666666666666674,0.5853658536585366,0.7058823529411765,0.5,82,participant
26,source_csp_target_lda_source_scaler,False,0.5967261904761905,0.33035714285714285,0.6,0.5476190476190477,0.6458333333333334,90,participant
26,source_csp_target_lda_source_scaler,True,0.5570436507936508,0.3125,0.5853658536585366,0.5,0.6458333333333334,82,participant
26,target_csp_ledoit_wolf,False,0.4836309523809524,0.08035714285714285,0.5,0.23809523809523808,0.7291666666666666,90,participant
26,target_csp_ledoit_wolf,True,0.46875000000000006,0.14583333333333337,0.5121951219512195,0.20588235294117646,0.7291666666666666,82,participant
27,source_zero_shot,False,0.6190476190476191,0.0892857142857143,0.6222222222222222,0.2727272727272727,0.9565217391304348,90,participant
27,source_zero_shot,True,0.6587301587301587,0.16666666666666663,0.6756756756756757,0.29411764705882354,1.0,74,participant
27,source_csp_target_lda_source_scaler,False,0.5967261904761905,0.1517857142857144,0.6111111111111112,0.6136363636363636,0.6086956521739131,90,participant
27,source_csp_target_lda_source_scaler,True,0.6235119047619048,0.29166666666666674,0.6351351351351351,0.5882352941176471,0.675,74,participant
27,target_csp_ledoit_wolf,False,0.662202380952381,0.38392857142857145,0.6666666666666666,0.6136363636363636,0.717391304347826,90,participant
