fold_balanced_accuracy_range,fold_balanced_accuracy_run_10,fold_balanced_accuracy_run_14,fold_balanced_accuracy_run_6,folds_above_chance_count,group_observational_unit,included_trial_count,model,out_of_fold_accuracy,out_of_fold_balanced_accuracy,out_of_fold_feet_recall,out_of_fold_fists_recall,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_trial_count,out_of_fold_true_feet_predicted_feet,out_of_fold_true_feet_predicted_fists,out_of_fold_true_fists_predicted_feet,out_of_fold_true_fists_predicted_fists,primary_mean_fold_balanced_accuracy,qc_candidate_count,qc_sensitivity,subject
0.19642857142857145,0.33035714285714285,0.5267857142857143,0.49107142857142855,1,participant,45,spectral_baseline_6,0.4444444444444444,0.4494047619047619,0.5238095238095238,0.375,0.44334487877288475,0.4623015873015873,45,11,10,15,9,0.44940476190476186,7,False,21
0.33035714285714285,0.33035714285714285,0.6607142857142857,0.3333333333333333,1,participant,38,spectral_baseline_6,0.4473684210526316,0.44957983193277307,0.47058823529411764,0.42857142857142855,0.446985446985447,0.3753501400560224,38,8,9,12,9,0.44146825396825395,7,True,21
0.03571428571428559,0.5803571428571428,0.5446428571428572,0.5714285714285714,3,participant,45,csp_4_empirical,0.5777777777777777,0.5654761904761905,0.38095238095238093,0.75,0.5558441558441558,0.5515873015873016,45,8,13,6,18,0.5654761904761905,7,False,21
0.13988095238095233,0.5267857142857143,0.6071428571428572,0.6666666666666666,3,participant,38,csp_4_empirical,0.6052631578947368,0.5980392156862745,0.5294117647058824,0.6666666666666666,0.5983086680761099,0.5434173669467788,38,9,8,7,14,0.6001984126984127,7,True,21
0.0357142857142857,0.4732142857142857,0.4375,0.4642857142857143,0,participant,45,spectral_baseline_6,0.4666666666666667,0.45833333333333337,0.5833333333333334,0.3333333333333333,0.45344129554655865,0.5476190476190477,45,14,10,14,7,0.4583333333333333,4,False,22
0.0625,0.47916666666666663,0.4375,0.5,0,participant,41,spectral_baseline_6,0.5121951219512195,0.48039215686274506,0.6666666666666666,0.29411764705882354,0.47435897435897434,0.5294117647058824,41,16,8,12,5,0.47222222222222215,4,True,22
0.2053571428571429,0.8660714285714286,0.6785714285714286,0.6607142857142857,3,participant,45,csp_4_empirical,0.7333333333333333,0.7351190476190477,0.7083333333333334,0.7619047619047619,0.733201581027668,0.7658730158730158,45,17,7,5,16,0.7351190476190478,4,False,22
0.2916666666666665,0.8333333333333333,0.775,0.5416666666666667,3,participant,41,csp_4_empirical,0.7073170731707317,0.7156862745098038,0.6666666666666666,0.7647058823529411,0.7057416267942584,0.7181372549019608,41,16,8,4,13,0.7166666666666667,4,True,22
0.25000000000000006,0.5803571428571428,0.48214285714285715,0.7321428571428572,2,participant,45,spectral_baseline_6,0.6,0.599802371541502,0.5909090909090909,0.6086956521739131,0.599802371541502,0.6027667984189723,45,13,9,9,14,0.5982142857142857,6,False,23
0.1071428571428571,0.6309523809523809,0.5238095238095238,0.6071428571428572,3,participant,39,spectral_baseline_6,0.5897435897435898,0.5907894736842105,0.55,0.631578947368421,0.5894736842105264,0.6631578947368421,39,11,9,7,12,0.5873015873015873,6,True,23
0.044642857142857206,0.5,0.5446428571428572,0.5089285714285714,2,participant,45,csp_4_empirical,0.5111111111111111,0.5187747035573123,0.8636363636363636,0.17391304347826086,0.44999999999999996,0.5335968379446641,45,19,3,19,4,0.5178571428571429,6,False,23
0.22619047619047628,0.5476190476190476,0.6666666666666666,0.7738095238095238,3,participant,39,csp_4_empirical,0.6666666666666666,0.6644736842105263,0.75,0.5789473684210527,0.6631229235880398,0.7210526315789474,39,15,5,8,11,0.6626984126984127,6,True,23
0.12499999999999994,0.5178571428571428,0.39285714285714285,0.41964285714285715,1,participant,45,spectral_baseline_6,0.4444444444444444,0.4397233201581028,0.6521739130434783,0.22727272727272727,0.41558441558441556,0.4328063241106719,45,15,8,17,5,0.44345238095238093,0,False,24
0.12499999999999994,0.5178571428571428,0.39285714285714285,0.41964285714285715,1,participant,45,spectral_baseline_6,0.4444444444444444,0.4397233201581028,0.6521739130434783,0.22727272727272727,0.41558441558441556,0.4328063241106719,45,15,8,17,5,0.44345238095238093,0,True,24
0.31249999999999994,0.5803571428571428,0.26785714285714285,0.5,1,participant,45,csp_4_empirical,0.4444444444444444,0.43873517786561267,0.6956521739130435,0.18181818181818182,0.4019138755980861,0.41304347826086957,45,16,7,18,4,0.44940476190476186,0,False,24
0.31249999999999994,0.5803571428571428,0.26785714285714285,0.5,1,participant,45,csp_4_empirical,0.4444444444444444,0.43873517786561267,0.6956521739130435,0.18181818181818182,0.4019138755980861,0.41304347826086957,45,16,7,18,4,0.44940476190476186,0,True,24
0.017857142857142905,0.7321428571428572,0.7410714285714286,0.7232142857142857,3,participant,45,spectral_baseline_6,0.7333333333333333,0.7321428571428572,0.7142857142857143,0.75,0.7321428571428572,0.8253968253968254,45,15,6,6,18,0.7321428571428571,8,False,25
0.12857142857142856,0.7619047619047619,0.8035714285714286,0.675,3,participant,37,spectral_baseline_6,0.7567567567567568,0.7558479532163742,0.7222222222222222,0.7894736842105263,0.756043956043956,0.8508771929824561,37,13,5,4,15,0.7468253968253968,8,True,25
0.0982142857142857,0.7410714285714286,0.8125,0.7142857142857143,3,participant,45,csp_4_empirical,0.7555555555555555,0.7559523809523809,0.7619047619047619,0.75,0.7550717466600693,0.882936507936508,45,16,5,6,18,0.7559523809523809,8,False,25
0.1875,0.8571428571428572,0.9375,0.75,3,participant,37,csp_4_empirical,0.8648648648648649,0.868421052631579,1.0,0.7368421052631579,0.8632668144863267,0.8976608187134504,37,18,0,5,14,0.8482142857142857,8,True,25
0.2589285714285714,0.4017857142857143,0.6607142857142857,0.5089285714285714,2,participant,45,spectral_baseline_6,0.5333333333333333,0.5238095238095237,0.6666666666666666,0.38095238095238093,0.5181030086690463,0.5396825396825398,45,16,8,13,8,0.5238095238095238,4,False,26
0.0625,0.4375,0.5,0.4375,0,participant,41,spectral_baseline_6,0.5121951219512195,0.49754901960784315,0.5833333333333334,0.4117647058823529,0.49754901960784315,0.6004901960784315,41,14,10,10,7,0.4583333333333333,4,True,26
0.0,0.5,0.5,0.5,0,participant,45,csp_4_empirical,0.4888888888888889,0.5,0.3333333333333333,0.6666666666666666,0.4796380090497738,0.4424603174603175,45,8,16,7,14,0.5,4,False,26
0.125,0.5,0.5,0.625,1,participant,41,csp_4_empirical,0.5609756097560976,0.5563725490196079,0.5833333333333334,0.5294117647058824,0.5543478260869565,0.6372549019607843,41,14,10,8,9,0.5416666666666666,4,True,26
0.1339285714285715,0.5446428571428572,0.5089285714285714,0.4107142857142857,2,participant,45,spectral_baseline_6,0.4888888888888889,0.48616600790513836,0.6086956521739131,0.36363636363636365,0.4796380090497738,0.4545454545454546,45,14,9,14,8,0.48809523809523814,8,False,27
0.12797619047619052,0.5,0.45535714285714285,0.5833333333333334,1,participant,37,spectral_baseline_6,0.4864864864864865,0.4764705882352941,0.6,0.35294117647058826,0.47261815453863465,0.44705882352941173,37,12,8,11,6,0.5128968253968255,8,True,27
0.1964285714285714,0.5267857142857143,0.7232142857142857,0.7232142857142857,3,participant,45,csp_4_empirical,0.6666666666666666,0.6650197628458498,0.7391304347826086,0.5909090909090909,0.6640119462419114,0.6620553359683795,45,17,6,9,13,0.6577380952380952,8,False,27
0.29166666666666663,0.5833333333333334,0.6607142857142857,0.875,3,participant,37,csp_4_empirical,0.7027027027027027,0.7029411764705882,0.7,0.7058823529411765,0.7018315018315018,0.6823529411764706,37,14,6,5,12,0.7063492063492064,8,True,27
0.22321428571428575,0.45535714285714285,0.5535714285714286,0.6785714285714286,2,participant,45,spectral_baseline_6,0.5555555555555556,0.5602766798418972,0.7727272727272727,0.34782608695652173,0.537037037037037,0.6205533596837944,45,17,5,15,8,0.5625,6,False,28
0.0982142857142857,0.5428571428571429,0.5,0.5982142857142857,2,participant,39,spectral_baseline_6,0.5384615384615384,0.5555555555555556,0.7777777777777778,0.3333333333333333,0.5230978260869565,0.6746031746031746,39,14,4,14,7,0.5470238095238096,6,True,28
0.19642857142857145,0.49107142857142855,0.5446428571428572,0.6875,2,participant,45,csp_4_empirical,0.5555555555555556,0.5563241106719368,0.5909090909090909,0.5217391304347826,0.5553359683794465,0.5968379446640317,45,13,9,11,12,0.574404761904762,6,False,28
0.4196428571428572,0.5285714285714286,0.25,0.6696428571428572,2,participant,39,csp_4_empirical,0.5128205128205128,0.503968253968254,0.3888888888888889,0.6190476190476191,0.501010101010101,0.5317460317460319,39,7,11,8,13,0.48273809523809524,6,True,28
0.1160714285714286,0.8125,0.9285714285714286,0.8660714285714286,3,participant,45,spectral_baseline_6,0.8666666666666667,0.8675889328063241,0.8260869565217391,0.9090909090909091,0.866600790513834,0.9545454545454546,45,19,4,2,20,0.8690476190476191,8,False,29
0.16666666666666674,0.75,0.8571428571428572,0.9166666666666667,3,participant,37,spectral_baseline_6,0.8378378378378378,0.8411764705882353,0.8,0.8823529411764706,0.8377192982456141,0.888235294117647,37,16,4,2,15,0.8412698412698413,8,True,29
0.0625,0.9375,1.0,1.0,3,participant,45,csp_4_empirical,0.9777777777777777,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,0.9960474308300395,45,22,1,0,22,0.9791666666666666,8,False,29
0.08333333333333326,0.9166666666666667,0.9285714285714286,1.0,3,participant,37,csp_4_empirical,0.9459459459459459,0.9455882352941176,0.95,0.9411764705882353,0.9455882352941176,0.988235294117647,37,19,1,1,16,0.9484126984126985,8,True,29
0.0803571428571429,0.5178571428571428,0.5982142857142857,0.5982142857142857,3,participant,45,spectral_baseline_6,0.5777777777777777,0.5714285714285714,0.47619047619047616,0.6666666666666666,0.5701357466063348,0.5833333333333333,45,10,11,8,16,0.5714285714285713,8,False,30
0.2761904761904762,0.6190476190476191,0.34285714285714286,0.5833333333333333,2,participant,37,spectral_baseline_6,0.5135135135135135,0.513157894736842,0.5,0.5263157894736842,0.513157894736842,0.5,37,9,9,9,10,0.515079365079365,8,True,30
0.125,0.7232142857142857,0.6607142857142857,0.5982142857142857,3,participant,45,csp_4_empirical,0.6666666666666666,0.6607142857142857,0.5714285714285714,0.75,0.660633484162896,0.7043650793650793,45,12,9,6,18,0.6607142857142857,8,False,30
0.45952380952380956,0.8452380952380952,0.3857142857142857,0.5833333333333334,2,participant,37,csp_4_empirical,0.6216216216216216,0.618421052631579,0.5,0.7368421052631579,0.6145833333333333,0.6608187134502924,37,9,9,5,14,0.6047619047619047,8,True,30
0.13392857142857145,0.5267857142857143,0.39285714285714285,0.5178571428571428,2,participant,45,spectral_baseline_6,0.4888888888888889,0.4871541501976284,0.4090909090909091,0.5652173913043478,0.48481831757093086,0.5454545454545455,45,9,13,10,13,0.4791666666666667,3,False,31
0.21428571428571436,0.5,0.39285714285714285,0.6071428571428572,1,participant,42,spectral_baseline_6,0.5,0.5,0.5,0.5,0.49971639251276234,0.5,42,10,10,11,11,0.5,3,True,31
0.2589285714285714,0.7946428571428572,0.7410714285714286,1.0,3,participant,45,csp_4_empirical,0.8444444444444444,0.8458498023715415,0.9090909090909091,0.782608695652174,0.8441365660564077,0.8695652173913044,45,20,2,5,18,0.8452380952380952,3,False,31
0.2589285714285714,0.8571428571428571,0.7410714285714286,1.0,3,participant,42,csp_4_empirical,0.8571428571428571,0.8590909090909091,0.9,0.8181818181818182,0.8571428571428571,0.9090909090909092,42,18,2,4,18,0.8660714285714285,3,True,31
0.1517857142857143,0.6607142857142857,0.5089285714285714,0.5178571428571428,3,participant,45,spectral_baseline_6,0.5777777777777777,0.5780632411067194,0.5652173913043478,0.5909090909090909,0.5777777777777777,0.5810276679841897,45,13,10,9,13,0.5624999999999999,12,False,32
