subject,spectral_balanced_accuracy,csp_balanced_accuracy,csp_minus_spectral
21,0.5565476190476191,0.5595238095238095,0.0029761904761904656
22,0.5773809523809524,0.49404761904761907,-0.08333333333333337
23,0.5982142857142857,0.6428571428571428,0.044642857142857095
24,0.5625,0.4136904761904761,-0.1488095238095239
25,0.6517857142857143,0.5625,-0.0892857142857143
26,0.568452380952381,0.5357142857142857,-0.032738095238095344
27,0.5922619047619048,0.6190476190476191,0.0267857142857143
28,0.5297619047619048,0.5357142857142857,0.005952380952380931
29,0.6101190476190476,1.0,0.38988095238095244
30,0.5922619047619048,0.5952380952380952,0.0029761904761904656
31,0.4880952380952381,0.5654761904761904,0.07738095238095227
32,0.4761904761904762,0.5565476190476191,0.08035714285714285
33,0.6398809523809524,0.6369047619047619,-0.0029761904761905766
34,0.6190476190476191,0.880952380952381,0.261904761904762
35,0.5982142857142857,0.8095238095238094,0.21130952380952372
36,0.6488095238095238,0.6428571428571428,-0.005952380952381042
37,0.5,0.5476190476190476,0.04761904761904756
38,0.4702380952380952,0.5238095238095238,0.05357142857142866
39,0.4196428571428572,0.4226190476190476,0.00297619047619041
40,0.4523809523809524,0.5208333333333334,0.06845238095238099
41,0.4523809523809524,0.6428571428571428,0.1904761904761904
42,0.6190476190476191,0.9553571428571429,0.33630952380952384
43,0.44047619047619047,0.6369047619047619,0.1964285714285714
44,0.47321428571428564,0.7113095238095237,0.23809523809523808
45,0.6636904761904762,0.5625,-0.10119047619047616
46,0.5208333333333334,0.5982142857142857,0.07738095238095233
47,0.4136904761904761,0.49702380952380953,0.08333333333333343
48,0.4672619047619048,0.4791666666666667,0.011904761904761862
49,0.5773809523809524,0.5029761904761905,-0.07440476190476197
50,0.5476190476190476,0.5238095238095238,-0.023809523809523725
51,0.4761904761904762,0.4761904761904761,-1.1102230246251565e-16
52,0.7767857142857143,0.7083333333333334,-0.06845238095238093
53,0.6369047619047619,0.5922619047619048,-0.044642857142857095
54,0.5208333333333334,0.5,-0.02083333333333337
55,0.49107142857142855,0.6369047619047619,0.14583333333333331
56,0.5892857142857143,0.5,-0.0892857142857143
57,0.4672619047619047,0.5,0.03273809523809529
58,0.4404761904761905,0.6339285714285714,0.19345238095238088
59,0.4553571428571428,0.6071428571428572,0.1517857142857144
60,0.6845238095238096,0.7023809523809524,0.017857142857142794
61,0.6458333333333334,0.6964285714285715,0.05059523809523814
62,0.7827380952380952,0.8660714285714285,0.08333333333333326
63,0.5863095238095238,0.49702380952380953,-0.0892857142857143
64,0.4761904761904762,0.7142857142857143,0.23809523809523808
65,0.44345238095238093,0.5833333333333334,0.13988095238095244
66,0.6011904761904763,0.5,-0.10119047619047628
67,0.5089285714285715,0.5208333333333334,0.011904761904761862
68,0.4791666666666667,0.7172619047619048,0.23809523809523808
69,0.5982142857142857,0.49702380952380953,-0.10119047619047616
70,0.5416666666666666,0.6160714285714285,0.07440476190476186
71,0.6845238095238096,0.5714285714285715,-0.11309523809523814
72,0.7857142857142857,0.8809523809523809,0.09523809523809523
73,0.42857142857142855,0.6666666666666666,0.23809523809523808
74,0.5714285714285714,0.4761904761904762,-0.09523809523809518
75,0.6190476190476191,0.6815476190476191,0.0625
76,0.5238095238095238,0.5,-0.023809523809523836
77,0.4761904761904762,0.49107142857142855,0.014880952380952328
78,0.44940476190476186,0.5357142857142857,0.08630952380952384
79,0.5595238095238096,0.511904761904762,-0.04761904761904767
80,0.4077380952380952,0.5714285714285714,0.16369047619047622
81,0.3928571428571428,0.5922619047619048,0.19940476190476197
82,0.5535714285714286,0.6428571428571429,0.0892857142857143
83,0.5178571428571428,0.6160714285714285,0.0982142857142857
84,0.6220238095238095,0.5684523809523809,-0.0535714285714286
85,0.6279761904761905,0.5,-0.12797619047619047
86,0.6101190476190477,0.5,-0.11011904761904767
87,0.5833333333333334,0.5982142857142857,0.014880952380952328
89,0.44345238095238093,0.6577380952380952,0.2142857142857143
90,0.43154761904761907,0.5595238095238095,0.12797619047619047
91,0.4672619047619048,0.6309523809523809,0.1636904761904761
93,0.7470238095238096,0.9553571428571429,0.20833333333333326
94,0.6845238095238096,0.7559523809523809,0.07142857142857129
95,0.5029761904761905,0.5505952380952381,0.04761904761904767
96,0.4702380952380952,0.5535714285714285,0.08333333333333331
97,0.5238095238095238,0.4166666666666667,-0.10714285714285715
98,0.5238095238095238,0.6309523809523809,0.1071428571428571
99,0.5297619047619048,0.5357142857142857,0.005952380952380931
101,0.47321428571428575,0.5,0.026785714285714246
102,0.5238095238095238,0.5952380952380952,0.0714285714285714
103,0.5148809523809524,0.5446428571428571,0.029761904761904656
104,0.5505952380952381,0.5833333333333334,0.03273809523809523
105,0.5476190476190476,0.7767857142857144,0.22916666666666685
106,0.5833333333333334,0.5,-0.08333333333333337
107,0.4613095238095239,0.5208333333333334,0.05952380952380948
108,0.5714285714285715,0.5952380952380952,0.023809523809523725
109,0.5,0.5,0.0
