subject,condition,balanced_accuracy,fists_recall,feet_recall
21,A,0.53125,0.3958333333333333,0.6666666666666666
21,B,0.4895833333333333,0.4791666666666667,0.5
21,C,0.550595238095238,0.625,0.4761904761904761
22,A,0.6279761904761906,0.8809523809523809,0.375
22,B,0.6383928571428571,0.8809523809523809,0.3958333333333333
22,C,0.7351190476190478,0.7619047619047619,0.7083333333333334
23,A,0.5714285714285715,0.4702380952380952,0.6726190476190478
23,B,0.49404761904761907,0.14583333333333334,0.8422619047619048
23,C,0.49702380952380953,0.1726190476190476,0.8214285714285715
24,A,0.48065476190476186,0.5238095238095238,0.4375
24,B,0.43154761904761907,0.2380952380952381,0.625
24,C,0.4077380952380952,0.3928571428571428,0.4226190476190476
25,A,0.6160714285714285,0.375,0.8571428571428571
25,B,0.8482142857142857,0.7916666666666666,0.9047619047619048
25,C,0.7708333333333334,0.875,0.6666666666666666
26,A,0.4836309523809524,0.2380952380952381,0.7291666666666666
26,B,0.5,0.6666666666666666,0.3333333333333333
26,C,0.5,0.6666666666666666,0.3333333333333333
27,A,0.6622023809523809,0.613095238095238,0.7113095238095237
27,B,0.6190476190476191,0.6904761904761904,0.5476190476190476
27,C,0.6577380952380952,0.5892857142857143,0.7261904761904763
28,A,0.6086309523809524,0.5684523809523809,0.6488095238095238
28,B,0.5625,0.4613095238095238,0.6636904761904762
28,C,0.5952380952380952,0.5773809523809524,0.6130952380952381
29,A,0.9776785714285715,0.9761904761904763,0.9791666666666666
29,B,0.9776785714285715,0.9761904761904763,0.9791666666666666
29,C,0.9553571428571429,0.9523809523809524,0.9583333333333334
30,A,0.6101190476190477,0.625,0.5952380952380952
30,B,0.6502976190476191,0.7291666666666666,0.5714285714285714
30,C,0.6369047619047619,0.75,0.5238095238095238
31,A,0.7470238095238096,0.6339285714285714,0.8601190476190476
31,B,0.7767857142857144,0.7291666666666666,0.8244047619047619
31,C,0.8690476190476191,0.8273809523809524,0.9107142857142857
32,A,0.5580357142857143,0.681547619047619,0.43452380952380953
32,B,0.5386904761904762,0.7857142857142857,0.2916666666666667
32,C,0.6041666666666666,0.6666666666666666,0.5416666666666666
33,A,0.5937500000000001,0.5773809523809523,0.6101190476190476
33,B,0.5357142857142857,0.48214285714285715,0.5892857142857143
33,C,0.6636904761904763,0.6785714285714285,0.6488095238095238
34,A,0.8571428571428571,0.9285714285714285,0.7857142857142857
34,B,0.8452380952380952,0.8809523809523809,0.8095238095238094
34,C,0.880952380952381,1.0,0.7619047619047619
35,A,0.9642857142857143,1.0,0.9285714285714285
35,B,0.9330357142857143,0.9375,0.9285714285714285
35,C,0.9523809523809524,1.0,0.9047619047619048
36,A,0.6607142857142857,0.8244047619047619,0.49702380952380953
36,B,0.71875,0.7916666666666666,0.6458333333333334
36,C,0.7083333333333334,0.7202380952380952,0.6964285714285715
37,A,0.5238095238095238,0.6428571428571429,0.4047619047619047
37,B,0.5476190476190476,0.38095238095238093,0.7142857142857143
37,C,0.5952380952380952,0.5714285714285715,0.6190476190476191
38,A,0.5119047619047619,0.5357142857142857,0.4880952380952381
38,B,0.5342261904761906,0.30952380952380953,0.7589285714285715
38,C,0.4583333333333333,0.5119047619047619,0.4047619047619048
39,A,0.5208333333333334,0.6309523809523809,0.41071428571428575
39,B,0.5252976190476191,0.5625,0.48809523809523814
39,C,0.6101190476190476,0.5773809523809524,0.6428571428571429
40,A,0.5267857142857143,0.2857142857142857,0.7678571428571429
40,B,0.6309523809523809,0.4851190476190476,0.7767857142857143
40,C,0.550595238095238,0.19047619047619047,0.9107142857142857
41,A,0.5238095238095238,0.5952380952380952,0.4523809523809524
41,B,0.6190476190476191,0.7619047619047619,0.4761904761904761
41,C,0.5952380952380952,0.8571428571428571,0.3333333333333333
42,A,0.9553571428571429,0.9583333333333334,0.9523809523809524
42,B,0.9895833333333334,0.9791666666666666,1.0
42,C,0.9791666666666666,0.9583333333333334,1.0
43,A,0.7857142857142857,0.6369047619047619,0.9345238095238096
43,B,0.787202380952381,0.7142857142857143,0.8601190476190476
43,C,0.9523809523809524,1.0,0.9047619047619048
44,A,0.5982142857142857,0.5535714285714285,0.6428571428571428
44,B,0.6830357142857143,0.5922619047619048,0.7738095238095237
44,C,0.755952380952381,0.7857142857142857,0.7261904761904762
45,A,0.5788690476190477,0.3958333333333333,0.7619047619047619
45,B,0.5610119047619048,0.4791666666666667,0.6428571428571428
45,C,0.6339285714285715,0.7916666666666666,0.4761904761904761
46,A,0.6369047619047619,0.7470238095238096,0.5267857142857143
46,B,0.7038690476190476,0.8839285714285715,0.5238095238095238
46,C,0.7380952380952381,0.8214285714285715,0.6547619047619048
47,A,0.5104166666666666,0.2648809523809524,0.7559523809523809
47,B,0.44196428571428575,0.6041666666666666,0.27976190476190477
47,C,0.4047619047619047,0.39285714285714285,0.4166666666666667
48,A,0.7366071428571428,0.8541666666666666,0.6190476190476191
48,B,0.7574404761904763,0.8958333333333334,0.6190476190476191
48,C,0.8154761904761906,0.9166666666666666,0.7142857142857143
49,A,0.6339285714285715,0.3095238095238095,0.9583333333333334
49,B,0.6339285714285715,0.30952380952380953,0.9583333333333334
49,C,0.7410714285714285,0.5238095238095238,0.9583333333333334
50,A,0.6651785714285715,0.5208333333333334,0.8095238095238096
50,B,0.5982142857142857,0.625,0.5714285714285714
50,C,0.6875,0.7083333333333334,0.6666666666666666
51,A,0.6785714285714285,0.8571428571428571,0.5
51,B,0.6071428571428571,0.6428571428571429,0.5714285714285714
51,C,0.6428571428571429,0.9523809523809524,0.3333333333333333
52,A,0.6979166666666666,0.5952380952380952,0.8005952380952381
52,B,0.8348214285714285,0.7321428571428571,0.9375
52,C,0.8452380952380952,0.8214285714285715,0.8690476190476191
53,A,0.5446428571428571,0.6339285714285714,0.45535714285714285
53,B,0.4523809523809524,0.47321428571428575,0.43154761904761907
53,C,0.5059523809523809,0.5178571428571429,0.49404761904761907
54,A,0.6726190476190476,0.7202380952380952,0.625
54,B,0.7038690476190478,0.7529761904761904,0.6547619047619048
54,C,0.7083333333333334,0.6071428571428571,0.8095238095238096
55,A,0.8586309523809524,0.9077380952380952,0.8095238095238096
55,B,0.8973214285714285,0.9523809523809524,0.8422619047619048
55,C,0.9523809523809524,0.9523809523809524,0.9523809523809524
56,A,0.7172619047619048,0.7857142857142857,0.6488095238095238
56,B,0.7767857142857143,1.0,0.5535714285714286
56,C,0.8065476190476191,0.8273809523809524,0.7857142857142857
57,A,0.5833333333333334,0.4255952380952381,0.7410714285714285
57,B,0.6205357142857143,0.36607142857142855,0.875
57,C,0.6458333333333334,0.6845238095238094,0.6071428571428571
58,A,0.6369047619047619,0.7886904761904763,0.4851190476190476
58,B,0.5952380952380952,0.8333333333333334,0.35714285714285715
