subject,shrinkage_lda_balanced_accuracy,l2_logistic_regression_balanced_accuracy,logistic_minus_lda
1,0.5297619047619048,0.5982142857142857,0.06845238095238093
2,0.6190476190476191,0.6130952380952381,-0.005952380952380931
3,0.46428571428571425,0.49107142857142855,0.0267857142857143
4,0.5744047619047619,0.5982142857142857,0.023809523809523836
5,0.5327380952380952,0.5059523809523809,-0.0267857142857143
6,0.5863095238095238,0.5684523809523809,-0.017857142857142905
7,0.6726190476190476,0.6488095238095238,-0.023809523809523725
8,0.6875,0.7351190476190476,0.04761904761904756
9,0.5386904761904763,0.49404761904761907,-0.044642857142857206
10,0.6398809523809524,0.7053571428571429,0.06547619047619047
11,0.6636904761904762,0.6220238095238095,-0.04166666666666663
12,0.5476190476190476,0.5714285714285715,0.023809523809523947
13,0.6190476190476191,0.6636904761904762,0.044642857142857095
14,0.4851190476190476,0.5267857142857143,0.041666666666666685
15,0.7380952380952381,0.7351190476190476,-0.0029761904761905766
16,0.5982142857142857,0.5535714285714286,-0.044642857142857095
17,0.6011904761904763,0.6011904761904763,0.0
18,0.5029761904761905,0.4791666666666667,-0.02380952380952378
19,0.4583333333333333,0.5,0.041666666666666685
20,0.5476190476190476,0.5922619047619048,0.044642857142857206
