method,calibration_run,participant_count,median_balanced_accuracy,q25_balanced_accuracy,q75_balanced_accuracy,minimum_balanced_accuracy,maximum_balanced_accuracy,friedman_statistic_across_calibration_runs,friedman_two_sided_p_across_calibration_runs,analysis_role
source_zero_shot,6,86,0.5647321428571428,0.5,0.6484375,0.40625,1.0,1.1202749140894284,0.5711305525350745,post_primary_exploratory_unadjusted
source_zero_shot,10,86,0.5714285714285714,0.5,0.6473214285714286,0.4196428571428571,1.0,1.1202749140894284,0.5711305525350745,post_primary_exploratory_unadjusted
source_zero_shot,14,86,0.5714285714285714,0.5011160714285714,0.6584821428571428,0.39285714285714285,1.0,1.1202749140894284,0.5711305525350745,post_primary_exploratory_unadjusted
source_csp_target_lda_source_scaler,6,86,0.5848214285714286,0.5133928571428571,0.6774553571428572,0.33482142857142855,1.0,0.21621621621616707,0.8975305608544819,post_primary_exploratory_unadjusted
source_csp_target_lda_source_scaler,10,86,0.5892857142857142,0.5,0.6830357142857143,0.3660714285714286,1.0,0.21621621621616707,0.8975305608544819,post_primary_exploratory_unadjusted
source_csp_target_lda_source_scaler,14,86,0.5758928571428572,0.5,0.7254464285714286,0.35714285714285715,1.0,0.21621621621616707,0.8975305608544819,post_primary_exploratory_unadjusted
target_csp_ledoit_wolf,6,86,0.5825892857142858,0.5100446428571428,0.6875,0.3571428571428571,0.9642857142857143,1.1842900302114474,0.5531395186787208,post_primary_exploratory_unadjusted
target_csp_ledoit_wolf,10,86,0.6116071428571429,0.5055803571428571,0.6997767857142858,0.33035714285714285,1.0,1.1842900302114474,0.5531395186787208,post_primary_exploratory_unadjusted
target_csp_ledoit_wolf,14,86,0.5803571428571428,0.4966517857142857,0.7142857142857143,0.36160714285714285,1.0,1.1842900302114474,0.5531395186787208,post_primary_exploratory_unadjusted
