size,n,median_BA,q25,q75,minimum,maximum,above_0_5,at_least_0_6,at_least_0_7,median_fists_recall,median_feet_recall
14,86,0.5952380952380952,0.5357142857142857,0.7105654761904763,0.43154761904761907,0.9895833333333334,0.8488372093023255,0.45348837209302323,0.27906976744186046,0.6041666666666666,0.6547619047619048
18,86,0.6227678571428572,0.5479910714285714,0.7403273809523809,0.43303571428571425,0.9880952380952381,0.9069767441860465,0.5581395348837209,0.32558139534883723,0.6473214285714286,0.6964285714285715
22,86,0.6220238095238095,0.5714285714285714,0.7686011904761905,0.4285714285714286,0.9791666666666666,0.9069767441860465,0.6162790697674418,0.32558139534883723,0.6517857142857143,0.6770833333333333
26,86,0.6465773809523809,0.576264880952381,0.7700892857142858,0.4047619047619048,0.9791666666666666,0.8953488372093024,0.6627906976744186,0.37209302325581395,0.6964285714285715,0.6711309523809523
28,86,0.6502976190476191,0.5632440476190477,0.7738095238095238,0.375,0.9791666666666666,0.8837209302325582,0.6162790697674418,0.37209302325581395,0.7083333333333334,0.693452380952381
