subject,spectral_balanced_accuracy,csp_balanced_accuracy,csp_minus_spectral
1,0.6011904761904762,0.5208333333333334,-0.0803571428571428
2,0.5535714285714285,0.6636904761904762,0.11011904761904767
3,0.5625,0.5178571428571429,-0.044642857142857095
4,0.6369047619047619,0.4791666666666667,-0.15773809523809518
5,0.5863095238095237,0.5029761904761905,-0.08333333333333326
6,0.6101190476190476,0.5684523809523809,-0.04166666666666663
7,0.5238095238095238,0.8869047619047619,0.363095238095238
8,0.7410714285714285,0.6428571428571428,-0.0982142857142857
9,0.4553571428571428,0.5357142857142857,0.0803571428571429
10,0.7202380952380952,0.7529761904761906,0.032738095238095344
11,0.5119047619047619,0.7023809523809524,0.19047619047619058
12,0.574404761904762,0.5476190476190476,-0.026785714285714413
13,0.4523809523809524,0.7321428571428571,0.2797619047619047
14,0.48809523809523814,0.6577380952380952,0.1696428571428571
15,0.6428571428571429,0.8273809523809524,0.18452380952380953
16,0.45238095238095233,0.5684523809523809,0.1160714285714286
17,0.568452380952381,0.5,-0.06845238095238104
18,0.5416666666666666,0.5654761904761905,0.023809523809523836
19,0.46428571428571425,0.5238095238095238,0.05952380952380959
20,0.6666666666666666,0.5803571428571429,-0.08630952380952372
