model,participant_count,median_balanced_accuracy,bootstrap_median_ci_lower,bootstrap_median_ci_upper,q25_balanced_accuracy,q75_balanced_accuracy,minimum_balanced_accuracy,maximum_balanced_accuracy,above_0_5_count,above_0_5_fraction,at_or_above_0_6_count,at_or_above_0_6_fraction,at_or_above_0_7_count,at_or_above_0_7_fraction,median_fists_recall,median_feet_recall,above_count,below_count,tie_count,one_sided_exact_sign_p,group_observational_unit
spectral_baseline_6,86,0.5357142857142857,0.5163690476190477,0.5684895833333329,0.47395833333333337,0.5982142857142857,0.3928571428571428,0.7857142857142857,55,0.6395348837209303,21,0.2441860465116279,4,0.046511627906976744,0.5416666666666666,0.5714285714285714,55,29,2,0.0030189788161316023,participant
csp_4_empirical,86,0.5699404761904762,0.5491071428571428,0.5967261904761905,0.5052083333333334,0.6413690476190476,0.4136904761904761,1.0,65,0.7558139534883721,32,0.37209302325581395,14,0.16279069767441862,0.7619047619047619,0.599802371541502,65,11,10,9.05985685804825e-11,participant
