model,participant_count,median_within_subject_balanced_accuracy,median_cross_subject_balanced_accuracy,median_cross_minus_within_balanced_accuracy,q25_cross_minus_within_balanced_accuracy,q75_cross_minus_within_balanced_accuracy,cross_better_count,within_better_count,tie_count,paired_wilcoxon_two_sided_p,analysis_role
spectral_baseline_6,86,0.5848214285714286,0.5357142857142857,-0.04315476190476189,-0.11830357142857144,0.034970238095238,30,53,3,0.0006778884459727644,post_primary_exploratory_matched_comparison
csp_4_empirical,86,0.6577380952380952,0.5699404761904762,-0.041666666666666796,-0.14732142857142863,0.017113095238095316,23,61,2,8.373240242046208e-06,post_primary_exploratory_matched_comparison
