model,participant_count,median_balanced_accuracy,bootstrap_median_ci_lower,bootstrap_median_ci_upper,q25_balanced_accuracy,q75_balanced_accuracy,minimum_balanced_accuracy,maximum_balanced_accuracy,above_0_5_count,above_0_5_fraction,at_or_above_0_6_count,at_or_above_0_6_fraction,at_or_above_0_7_count,at_or_above_0_7_fraction,median_fists_recall,median_feet_recall,above_count,below_count,tie_count,one_sided_exact_sign_p,group_observational_unit
spectral_baseline_6,20,0.5654761904761905,0.5178571428571428,0.6056547619047619,0.5059523809523809,0.6168154761904762,0.45238095238095233,0.7410714285714285,15,0.75,7,0.35,2,0.1,0.599802371541502,0.6432806324110671,15,5,0,0.020694732666015625,participant
csp_4_empirical,20,0.5684523809523809,0.5297619047619048,0.6607142857142857,0.5230654761904763,0.6733630952380952,0.4791666666666667,0.8869047619047619,18,0.9,8,0.4,5,0.25,0.7178030303030303,0.6956521739130435,18,1,1,3.814697265625e-05,participant
