method,participant_count,median_balanced_accuracy,bootstrap_median_ci_lower,bootstrap_median_ci_upper,q25_balanced_accuracy,q75_balanced_accuracy,above_0_5_count,above_0_5_fraction,at_or_above_0_6_count,at_or_above_0_6_fraction,at_or_above_0_7_count,at_or_above_0_7_fraction,median_fists_recall,median_feet_recall,median_scenario_test_run_range,QC_cohort_median_balanced_accuracy,median_paired_QC_minus_primary_balanced_accuracy,group_observational_unit
source_zero_shot,20,0.5684523809523809,0.5297619047619048,0.6607142857142857,0.5230654761904763,0.6733630952380952,18,0.9,8,0.4,5,0.25,0.7178030303030303,0.6956521739130435,0.12500000000000006,0.5689484126984128,0.0,participant
source_csp_target_lda_source_scaler,20,0.6019345238095238,0.5305059523809523,0.6592261904761905,0.5204613095238095,0.6726190476190477,16,0.8,10,0.5,5,0.25,0.6818181818181818,0.5455486542443064,0.21428571428571433,0.5981646825396825,0.004464285714285698,participant
source_csp_target_lda_target_scaler,20,0.6019345238095238,0.5305059523809523,0.6465773809523809,0.5204613095238095,0.6726190476190477,16,0.8,10,0.5,5,0.25,0.6818181818181818,0.5455486542443064,0.21428571428571433,0.5981646825396825,0.004464285714285698,participant
target_csp_empirical,20,0.5528273809523809,0.5171130952380952,0.6741071428571428,0.5119047619047619,0.7206101190476191,17,0.85,7,0.35,6,0.3,0.6628787878787878,0.5795454545454546,0.2767857142857143,0.55,-0.004464285714285698,participant
target_csp_ledoit_wolf,20,0.6019345238095238,0.519345238095238,0.6674107142857142,0.5152529761904762,0.6949404761904762,16,0.8,11,0.55,5,0.25,0.7159090909090909,0.48958333333333337,0.28125,0.5847718253968255,-0.006944444444444364,participant
