development_fold,subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,training_subjects,target_adaptation_used
5,5,csp_4_empirical,14,0.5,0.5333333333333333,1.0,0.0,8,0,7,0,15,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,spectral_baseline_6,6,0.5089285714285714,0.5333333333333333,0.14285714285714285,0.875,1,6,1,7,15,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,spectral_baseline_6,10,0.5892857142857143,0.6,0.42857142857142855,0.75,3,4,2,6,15,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,spectral_baseline_6,14,0.7321428571428572,0.7333333333333333,0.75,0.7142857142857143,6,2,2,5,15,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,csp_4_empirical,6,0.7142857142857143,0.7333333333333333,0.42857142857142855,1.0,3,4,0,8,15,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,csp_4_empirical,10,0.5714285714285714,0.6,0.14285714285714285,1.0,1,6,0,8,15,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,csp_4_empirical,14,0.41964285714285715,0.4,0.125,0.7142857142857143,1,7,2,5,15,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,spectral_baseline_6,6,0.5714285714285714,0.6,0.14285714285714285,1.0,1,6,0,8,15,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,spectral_baseline_6,10,0.5,0.4666666666666667,0.0,1.0,0,8,0,7,15,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,spectral_baseline_6,14,0.5,0.5333333333333333,0.0,1.0,0,7,0,8,15,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,csp_4_empirical,6,1.0,1.0,1.0,1.0,7,0,0,8,15,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,csp_4_empirical,10,0.8660714285714286,0.8666666666666667,0.875,0.8571428571428571,7,1,1,6,15,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,csp_4_empirical,14,0.7946428571428572,0.8,0.7142857142857143,0.875,5,2,1,7,15,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,spectral_baseline_6,6,0.8660714285714286,0.8666666666666667,0.8571428571428571,0.875,6,1,1,7,15,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,spectral_baseline_6,10,0.6071428571428572,0.6,0.5,0.7142857142857143,4,4,2,5,15,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,spectral_baseline_6,14,0.75,0.7333333333333333,0.5,1.0,4,4,0,7,15,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,csp_4_empirical,6,0.7857142857142857,0.8,0.5714285714285714,1.0,4,3,0,8,15,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,csp_4_empirical,10,0.6696428571428572,0.6666666666666666,0.625,0.7142857142857143,5,3,2,5,15,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,csp_4_empirical,14,0.4732142857142857,0.4666666666666667,0.375,0.5714285714285714,3,5,3,4,15,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
9,9,spectral_baseline_6,6,0.4464285714285714,0.4666666666666667,0.75,0.14285714285714285,6,2,6,1,15,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,spectral_baseline_6,10,0.5803571428571428,0.6,0.875,0.2857142857142857,7,1,5,2,15,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,spectral_baseline_6,14,0.3392857142857143,0.3333333333333333,0.42857142857142855,0.25,3,4,6,2,15,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,csp_4_empirical,6,0.5892857142857143,0.6,0.75,0.42857142857142855,6,2,4,3,15,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,csp_4_empirical,10,0.5982142857142857,0.6,0.625,0.5714285714285714,5,3,3,4,15,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,csp_4_empirical,14,0.41964285714285715,0.4,0.7142857142857143,0.125,5,2,7,1,15,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
10,10,spectral_baseline_6,6,0.7321428571428572,0.7333333333333333,0.7142857142857143,0.75,5,2,2,6,15,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,spectral_baseline_6,10,0.6160714285714286,0.6,0.375,0.8571428571428571,3,5,1,6,15,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,spectral_baseline_6,14,0.8125,0.8,0.625,1.0,5,3,0,7,15,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,csp_4_empirical,6,0.5892857142857143,0.6,0.42857142857142855,0.75,3,4,2,6,15,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,csp_4_empirical,10,0.7946428571428572,0.8,0.875,0.7142857142857143,7,1,2,5,15,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,csp_4_empirical,14,0.875,0.8666666666666667,0.75,1.0,6,2,0,7,15,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
11,11,spectral_baseline_6,6,0.5803571428571428,0.6,0.875,0.2857142857142857,7,1,5,2,15,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,spectral_baseline_6,10,0.4732142857142857,0.4666666666666667,0.5714285714285714,0.375,4,3,5,3,15,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
