comparison,candidate_method,reference_method,participant_count,median_paired_difference,q25_paired_difference,q75_paired_difference,improved_count,worsened_count,tie_count,one_sided_exact_sign_p,improved_fraction,candidate_median_balanced_accuracy,candidate_median_fists_recall,candidate_median_feet_recall,QC_median_paired_difference,convincing_paired_gain,comparison_name
source_csp_target_lda_source_scaler_minus_source_zero_shot,source_csp_target_lda_source_scaler,source_zero_shot,86,-0.014136904761904795,-0.06473214285714285,0.0818452380952383,36,49,1,0.9358017985367996,0.4186046511627907,0.5654761904761905,0.6111660079051384,0.6193181818181819,-0.015079365079365081,False,B_minus_A
target_csp_ledoit_wolf_minus_source_csp_target_lda_source_scaler,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,86,0.014136904761904767,-0.026413690476190452,0.05915178571428567,53,32,1,0.014728180892889442,0.6162790697674418,0.5959821428571428,0.5930735930735931,0.6363636363636364,0.023660714285714257,False,C_minus_B
target_csp_ledoit_wolf_minus_source_zero_shot,target_csp_ledoit_wolf,source_zero_shot,86,0.009672619047619097,-0.034970238095238165,0.1015625,49,35,2,0.07782823185699853,0.5697674418604651,0.5959821428571428,0.5930735930735931,0.6363636363636364,0.024851190476190388,False,C_minus_A
