subject,test_run,size,balanced_accuracy,fists_recall,feet_recall,variant_count,test_trial_count
27,10,22,0.6160714285714286,0.875,0.3571428571428571,2,15
27,10,26,0.5223214285714286,0.6875,0.3571428571428571,2,15
27,10,28,0.5267857142857143,0.625,0.42857142857142855,1,15
27,14,14,0.5982142857142857,0.5714285714285714,0.625,2,15
27,14,18,0.5982142857142857,0.5714285714285714,0.625,2,15
27,14,22,0.625,0.5,0.75,2,15
27,14,26,0.6517857142857143,0.42857142857142855,0.875,2,15
27,14,28,0.6517857142857143,0.42857142857142855,0.875,1,15
28,6,14,0.5,0.0,1.0,2,15
28,6,18,0.5625,0.125,1.0,2,15
28,6,22,0.5625,0.125,1.0,2,15
28,6,26,0.5535714285714286,0.25,0.8571428571428571,2,15
28,6,28,0.49107142857142855,0.125,0.8571428571428571,1,15
28,10,14,0.5669642857142858,0.5714285714285714,0.5625,2,15
28,10,18,0.39285714285714285,0.2857142857142857,0.5,2,15
28,10,22,0.34375,0.5,0.1875,2,15
28,10,26,0.5133928571428572,0.7142857142857143,0.3125,2,15
28,10,28,0.5357142857142857,0.5714285714285714,0.5,1,15
28,14,14,0.6205357142857142,0.8125,0.42857142857142855,2,15
28,14,18,0.5625,0.625,0.5,2,15
28,14,22,0.5267857142857143,0.625,0.42857142857142855,2,15
28,14,26,0.5267857142857143,0.625,0.42857142857142855,2,15
28,14,28,0.6696428571428572,0.625,0.7142857142857143,1,15
29,6,14,1.0,1.0,1.0,2,15
29,6,18,1.0,1.0,1.0,2,15
29,6,22,1.0,1.0,1.0,2,15
29,6,26,1.0,1.0,1.0,2,15
29,6,28,1.0,1.0,1.0,1,15
29,10,14,0.9330357142857143,0.9285714285714286,0.9375,2,15
29,10,18,0.9330357142857143,0.9285714285714286,0.9375,2,15
29,10,22,0.9017857142857143,0.9285714285714286,0.875,2,15
29,10,26,0.9375,1.0,0.875,2,15
29,10,28,0.9375,1.0,0.875,1,15
29,14,14,1.0,1.0,1.0,2,15
29,14,18,0.9642857142857143,0.9285714285714286,1.0,2,15
29,14,22,0.9642857142857143,0.9285714285714286,1.0,2,15
29,14,26,0.9285714285714286,0.8571428571428571,1.0,2,15
29,14,28,0.9285714285714286,0.8571428571428571,1.0,1,15
30,6,14,0.45089285714285715,0.6875,0.21428571428571427,2,15
30,6,18,0.6696428571428572,0.625,0.7142857142857142,2,15
30,6,22,0.6071428571428572,0.5,0.7142857142857143,2,15
30,6,26,0.5401785714285714,0.4375,0.6428571428571428,2,15
30,6,28,0.5446428571428572,0.375,0.7142857142857143,1,15
30,10,14,0.84375,0.6875,1.0,2,15
30,10,18,0.6785714285714286,0.5,0.8571428571428571,2,15
30,10,22,0.6964285714285714,0.75,0.6428571428571428,2,15
30,10,26,0.7232142857142857,0.875,0.5714285714285714,2,15
30,10,28,0.7232142857142857,0.875,0.5714285714285714,1,15
30,14,14,0.65625,0.8125,0.5,2,15
30,14,18,0.5491071428571428,0.8125,0.2857142857142857,2,15
30,14,22,0.5089285714285714,0.875,0.14285714285714285,2,15
30,14,26,0.5803571428571428,0.875,0.2857142857142857,2,15
30,14,28,0.5178571428571428,0.75,0.2857142857142857,1,15
31,6,14,0.7767857142857143,0.625,0.9285714285714286,2,15
31,6,18,0.8125,0.625,1.0,2,15
31,6,22,0.90625,0.8125,1.0,2,15
31,6,26,1.0,1.0,1.0,2,15
31,6,28,1.0,1.0,1.0,1,15
31,10,14,0.84375,1.0,0.6875,2,15
31,10,18,0.8705357142857143,0.9285714285714286,0.8125,2,15
31,10,22,0.8973214285714286,0.8571428571428571,0.9375,2,15
31,10,26,0.8660714285714286,0.8571428571428571,0.875,2,15
31,10,28,0.8660714285714286,0.8571428571428571,0.875,1,15
31,14,14,0.7098214285714286,0.5625,0.8571428571428571,2,15
31,14,18,0.7410714285714286,0.625,0.8571428571428571,2,15
31,14,22,0.7410714285714286,0.625,0.8571428571428571,2,15
31,14,26,0.8035714285714286,0.75,0.8571428571428571,2,15
31,14,28,0.8035714285714286,0.75,0.8571428571428571,1,15
32,6,14,0.6071428571428572,0.7142857142857143,0.5,2,15
32,6,18,0.7053571428571429,0.7857142857142857,0.625,2,15
32,6,22,0.6964285714285714,0.6428571428571428,0.75,2,15
32,6,26,0.65625,1.0,0.3125,2,15
32,6,28,0.5625,1.0,0.125,1,15
32,10,14,0.5089285714285714,0.6428571428571428,0.375,2,15
32,10,18,0.4508928571428572,0.7142857142857143,0.1875,2,15
32,10,22,0.6383928571428572,0.7142857142857143,0.5625,2,15
32,10,26,0.5446428571428571,0.7142857142857142,0.375,2,15
32,10,28,0.42857142857142855,0.8571428571428571,0.0,1,15
32,14,14,0.5,1.0,0.0,2,15
32,14,18,0.5,1.0,0.0,2,15
32,14,22,0.5580357142857143,0.6875,0.42857142857142855,2,15
32,14,26,0.53125,0.5625,0.5,2,15
32,14,28,0.5,1.0,0.0,1,15
33,6,14,0.6339285714285714,0.6428571428571428,0.625,2,15
33,6,18,0.6964285714285714,0.6428571428571428,0.75,2,15
33,6,22,0.6026785714285714,0.6428571428571428,0.5625,2,15
33,6,26,0.7410714285714286,0.8571428571428571,0.625,2,15
33,6,28,0.7410714285714286,0.8571428571428571,0.625,1,15
33,10,14,0.5089285714285714,0.375,0.6428571428571428,2,15
33,10,18,0.6607142857142857,0.75,0.5714285714285714,2,15
33,10,22,0.6607142857142857,0.75,0.5714285714285714,2,15
33,10,26,0.6294642857142857,0.6875,0.5714285714285714,2,15
33,10,28,0.6607142857142857,0.75,0.5714285714285714,1,15
33,14,14,0.4642857142857143,0.4285714285714286,0.5,2,15
33,14,18,0.5892857142857143,0.42857142857142855,0.75,2,15
33,14,22,0.5892857142857143,0.42857142857142855,0.75,2,15
33,14,26,0.5892857142857143,0.42857142857142855,0.75,2,15
33,14,28,0.5892857142857143,0.42857142857142855,0.75,1,15
34,6,14,1.0,1.0,1.0,2,14
34,6,18,1.0,1.0,1.0,2,14
34,6,22,1.0,1.0,1.0,2,14
34,6,26,1.0,1.0,1.0,2,14
34,6,28,1.0,1.0,1.0,1,14
34,10,14,0.7142857142857142,0.7857142857142857,0.6428571428571428,2,14
34,10,18,0.7142857142857142,0.8571428571428572,0.5714285714285714,2,14
34,10,22,0.7857142857142857,1.0,0.5714285714285714,2,14
34,10,26,0.7857142857142857,1.0,0.5714285714285714,2,14
34,10,28,0.7142857142857143,1.0,0.42857142857142855,1,14
34,14,14,0.8214285714285714,0.8571428571428572,0.7857142857142857,2,14
34,14,18,0.8571428571428572,0.8571428571428572,0.8571428571428571,2,14
34,14,22,0.8928571428571428,0.9285714285714286,0.8571428571428571,2,14
34,14,26,0.8928571428571428,0.9285714285714286,0.8571428571428571,2,14
34,14,28,0.9285714285714286,1.0,0.8571428571428571,1,14
35,6,14,0.90625,0.8125,1.0,2,15
35,6,18,1.0,1.0,1.0,2,15
35,6,22,1.0,1.0,1.0,2,15
35,6,26,1.0,1.0,1.0,2,15
35,6,28,1.0,1.0,1.0,1,15
35,10,14,0.8928571428571429,1.0,0.7857142857142857,2,15
