accuracy,balanced_accuracy,feet_recall,fists_recall,fold,macro_f1,model,qc_sensitivity,roc_auc,subject,test_run,training_runs,trial_count,true_feet_predicted_feet,true_feet_predicted_fists,true_fists_predicted_feet,true_fists_predicted_fists
0.6,0.5803571428571428,0.2857142857142857,0.875,2,0.55,spectral_baseline_6,False,0.5357142857142857,23,10,6/14,15,2,5,1,7
0.4666666666666667,0.48214285714285715,0.7142857142857143,0.25,3,0.4444444444444444,spectral_baseline_6,False,0.5892857142857142,23,14,6/10,15,5,2,6,2
0.6153846153846154,0.6071428571428572,0.5,0.7142857142857143,1,0.606060606060606,spectral_baseline_6,True,0.6666666666666666,23,6,10/14,13,3,3,2,5
0.6153846153846154,0.6309523809523809,0.42857142857142855,0.8333333333333334,2,0.606060606060606,spectral_baseline_6,True,0.5952380952380953,23,10,6/14,13,3,4,1,5
0.5384615384615384,0.5238095238095238,0.7142857142857143,0.3333333333333333,3,0.5125,spectral_baseline_6,True,0.7380952380952381,23,14,6/10,13,5,2,4,2
0.5333333333333333,0.5089285714285714,0.875,0.14285714285714285,1,0.4444444444444444,csp_4_empirical,False,0.3392857142857143,23,6,10/14,15,7,1,6,1
0.4666666666666667,0.5,1.0,0.0,2,0.3181818181818182,csp_4_empirical,False,0.6428571428571428,23,10,6/14,15,7,0,8,0
0.5333333333333333,0.5446428571428572,0.7142857142857143,0.375,3,0.5248868778280543,csp_4_empirical,False,0.6071428571428571,23,14,6/10,15,5,2,5,3
0.7692307692307693,0.7738095238095238,0.8333333333333334,0.7142857142857143,1,0.7692307692307693,csp_4_empirical,True,0.8095238095238096,23,6,10/14,13,5,1,2,5
0.5384615384615384,0.5476190476190476,0.42857142857142855,0.6666666666666666,2,0.5357142857142857,csp_4_empirical,True,0.5714285714285714,23,10,6/14,13,3,4,2,4
0.6923076923076923,0.6666666666666666,1.0,0.3333333333333333,3,0.6388888888888888,csp_4_empirical,True,0.8333333333333334,23,14,6/10,13,7,0,4,2
0.4,0.41964285714285715,0.7142857142857143,0.125,1,0.354066985645933,spectral_baseline_6,False,0.5714285714285714,24,6,10/14,15,5,2,7,1
0.5333333333333333,0.5178571428571428,0.75,0.2857142857142857,2,0.49760765550239233,spectral_baseline_6,False,0.35714285714285715,24,10,6/14,15,6,2,5,2
0.4,0.39285714285714285,0.5,0.2857142857142857,3,0.3891402714932127,spectral_baseline_6,False,0.41071428571428575,24,14,6/10,15,4,4,5,2
0.4,0.41964285714285715,0.7142857142857143,0.125,1,0.354066985645933,spectral_baseline_6,True,0.5714285714285714,24,6,10/14,15,5,2,7,1
0.5333333333333333,0.5178571428571428,0.75,0.2857142857142857,2,0.49760765550239233,spectral_baseline_6,True,0.35714285714285715,24,10,6/14,15,6,2,5,2
