method,participant_count,median_balanced_accuracy,bootstrap_median_ci_lower,bootstrap_median_ci_upper,q25_balanced_accuracy,q75_balanced_accuracy,above_0_5_count,above_0_5_fraction,at_or_above_0_6_count,at_or_above_0_6_fraction,at_or_above_0_7_count,at_or_above_0_7_fraction,median_fists_recall,median_feet_recall,median_scenario_test_run_range,QC_cohort_median_balanced_accuracy,median_paired_QC_minus_primary_balanced_accuracy,group_observational_unit
source_zero_shot,86,0.5699404761904762,0.5491071428571428,0.5967261904761905,0.5052083333333334,0.6413690476190476,65,0.7558139534883721,32,0.37209302325581395,14,0.16279069767441862,0.7619047619047619,0.599802371541502,0.13839285714285718,0.5684523809523809,0.0,participant
source_csp_target_lda_source_scaler,86,0.5654761904761905,0.5528273809523809,0.6116071428571428,0.5174851190476191,0.6752232142857143,70,0.813953488372093,37,0.43023255813953487,18,0.20930232558139536,0.6111660079051384,0.6193181818181819,0.2455357142857143,0.5719742063492064,0.0009920634920634885,participant
target_csp_ledoit_wolf,86,0.5959821428571428,0.5639880952380952,0.6272321428571428,0.5252976190476191,0.6796875,71,0.8255813953488372,41,0.47674418604651164,18,0.20930232558139536,0.5930735930735931,0.6363636363636364,0.2901785714285715,0.5958333333333333,0.0,participant
