channel,eligible_evaluation_subject_count,matched_individualizable_subject_count,coverage_fraction,fixed_narrow_negative_subject_count,fixed_narrow_negative_subject_fraction,individualized_negative_subject_count,individualized_negative_subject_fraction,negative_subject_fraction_gain,fixed_narrow_group_median_percent,individualized_group_median_percent,fixed_broad_group_median_percent,median_paired_individualized_minus_fixed_narrow_percent,q25_paired_difference_percent,q75_paired_difference_percent,minimum_paired_difference_percent,maximum_paired_difference_percent,trimmed_mean_paired_difference_percent,fixed_narrow_at_least_two_negative_runs_count,fixed_narrow_at_least_two_negative_runs_fraction,individualized_at_least_two_negative_runs_count,individualized_at_least_two_negative_runs_fraction,at_least_two_negative_runs_fraction_gain,median_fixed_narrow_run_range_percentage_points,median_individualized_run_range_percentage_points,median_qc_paired_difference_percent,median_paired_difference_db,percent_and_db_paired_difference_direction_agreement_count,leave_one_subject_out_minimum_paired_median_percent,leave_one_subject_out_maximum_paired_median_percent,one_sided_paired_wilcoxon_p,method_category,holm_adjusted_paired_wilcoxon_p
C4,54,50,0.9259259259259259,43,0.86,39,0.78,-0.07999999999999996,-27.394206212040537,-22.043255651069238,-18.963065600321087,0.9583792839262941,-6.3385511277085484,10.588900668931455,-26.855183257763194,38.31378057633407,2.376979271197718,41,0.82,37,0.74,-0.07999999999999996,30.7753450298503,35.256921453413,1.442911593551118,0.06458845673275682,50,0.37664604766298604,1.5401125201896022,0.8924737719031155,no improvement,1.0
C3,54,50,0.9259259259259259,45,0.9,40,0.8,-0.09999999999999998,-18.2857048804863,-13.96417003398858,-14.821683832668683,2.4443839510568717,-2.0181749153132653,12.804289479130817,-29.88877344040188,29.316261709889183,4.179130843037102,46,0.92,39,0.78,-0.14,33.60953054884368,39.10836082302741,1.7159464934346147,0.13190110562453256,50,2.3923787959873266,2.4963891061264167,0.9914494652273795,no improvement,1.0
