group,metric,median,q25,q75,minimum,maximum,n
poor_CSP_<=0.50,task_direction_magnitude,1.6849125285046969,1.468248564419684,1.8536515124813508,1.288354013944954,3.4264213469267104,21
other,task_direction_magnitude,1.7297606606744071,1.4735324638272986,2.124215326838893,1.2113421741866714,5.0982761186353,65
poor_CSP_<=0.50,source_direction_alignment,0.10731365518000566,0.016343019637038166,0.14904951630561658,-0.11650136805912925,0.3387807907292326,21
other,source_direction_alignment,0.2071182536520454,0.10760558473649143,0.2598745288740531,-0.05857726948356449,0.4542378235358226,65
poor_CSP_<=0.50,run_direction_alignment,0.08786305424523867,0.003511415567087515,0.17593766182683504,-0.07018774310932312,0.5459976556688969,21
other,run_direction_alignment,0.09960964760692208,0.040381328313656976,0.22130144304382737,-0.14470167253999863,0.7998498291152875,65
poor_CSP_<=0.50,source_midpoint_offset,7.553355507514433,6.254339039715099,7.955848948567411,4.402418932373361,14.847292031835938,21
other,source_midpoint_offset,6.67767621940215,5.714880554071853,7.901227823001292,4.306083628395002,11.400028120605402,65
