classification,prominence_threshold_db,valid_run_peaks,valid_subject_run_fraction,peak_frequency,pairwise,agreement_le_0_5,agreement_le_1_0
ROBUSTNESS_DIAGNOSTIC,0.5,315,1.0,"{'count': 315, 'median_hz': 10.5, 'iqr_hz': [9.25, 11.5], 'mean_hz': 10.386507936507936, 'sd_hz': 1.4663205812206734, 'p90_hz': 12.25, 'min_hz': 7.25, 'max_hz': 13.5}","{'count': 315, 'median_hz': 0.5, 'iqr_hz': [0.25, 1.5], 'mean_hz': 1.092063492063492, 'sd_hz': 1.2532825164421684, 'p90_hz': 3.0, 'min_hz': 0.0, 'max_hz': 5.5}",0.526984126984127,0.6666666666666666
ROBUSTNESS_DIAGNOSTIC,1.0,315,1.0,"{'count': 315, 'median_hz': 10.5, 'iqr_hz': [9.25, 11.5], 'mean_hz': 10.386507936507936, 'sd_hz': 1.4663205812206734, 'p90_hz': 12.25, 'min_hz': 7.25, 'max_hz': 13.5}","{'count': 315, 'median_hz': 0.5, 'iqr_hz': [0.25, 1.5], 'mean_hz': 1.092063492063492, 'sd_hz': 1.2532825164421684, 'p90_hz': 3.0, 'min_hz': 0.0, 'max_hz': 5.5}",0.526984126984127,0.6666666666666666
ROBUSTNESS_DIAGNOSTIC,1.5,314,0.9968253968253968,"{'count': 314, 'median_hz': 10.5, 'iqr_hz': [9.3125, 11.5], 'mean_hz': 10.39092356687898, 'sd_hz': 1.4665619443553437, 'p90_hz': 12.25, 'min_hz': 7.25, 'max_hz': 13.5}","{'count': 313, 'median_hz': 0.5, 'iqr_hz': [0.25, 1.5], 'mean_hz': 1.084664536741214, 'sd_hz': 1.2532092006386042, 'p90_hz': 3.0, 'min_hz': 0.0, 'max_hz': 5.5}",0.5303514376996805,0.670926517571885
