balanced_accuracy_run_10,balanced_accuracy_run_14,balanced_accuracy_run_6,feet_recall,fists_recall,group_observational_unit,model,pooled_accuracy,pooled_balanced_accuracy,primary_mean_run_balanced_accuracy,subject,target_adaptation_used,trial_count,true_feet_predicted_feet,true_feet_predicted_fists,true_fists_predicted_feet,true_fists_predicted_fists,zero_shot
0.6160714285714286,0.5267857142857143,0.5267857142857143,0.5714285714285714,0.5416666666666666,participant,spectral_baseline_6,0.5555555555555556,0.5565476190476191,0.5565476190476191,21,False,45,12,9,11,13,True
0.5,0.625,0.5535714285714286,0.9523809523809523,0.16666666666666666,participant,csp_4_empirical,0.5333333333333333,0.5595238095238095,0.5595238095238095,21,False,45,20,1,20,4,True
0.5535714285714286,0.625,0.5535714285714286,0.25,0.9047619047619048,participant,spectral_baseline_6,0.5555555555555556,0.5773809523809523,0.5773809523809524,22,False,45,6,18,2,19,True
0.4732142857142857,0.5267857142857143,0.48214285714285715,0.4166666666666667,0.5714285714285714,participant,csp_4_empirical,0.4888888888888889,0.49404761904761907,0.49404761904761907,22,False,45,10,14,9,12,True
0.7946428571428572,0.5982142857142857,0.4017857142857143,0.5454545454545454,0.6521739130434783,participant,spectral_baseline_6,0.6,0.5988142292490118,0.5982142857142857,23,False,45,12,10,8,15,True
0.5982142857142857,0.5357142857142857,0.7946428571428572,0.6818181818181818,0.6086956521739131,participant,csp_4_empirical,0.6444444444444445,0.6452569169960474,0.6428571428571428,23,False,45,15,7,9,14,True
0.5625,0.5535714285714286,0.5714285714285714,0.17391304347826086,0.9545454545454546,participant,spectral_baseline_6,0.5555555555555556,0.5642292490118577,0.5625,24,False,45,4,19,1,21,True
0.4017857142857143,0.4107142857142857,0.42857142857142855,0.4782608695652174,0.3181818181818182,participant,csp_4_empirical,0.4,0.3982213438735178,0.4136904761904761,24,False,45,11,12,15,7,True
0.5982142857142857,0.6785714285714286,0.6785714285714286,0.7619047619047619,0.5416666666666666,participant,spectral_baseline_6,0.6444444444444445,0.6517857142857142,0.6517857142857143,25,False,45,16,5,11,13,True
0.5625,0.5,0.625,1.0,0.125,participant,csp_4_empirical,0.5333333333333333,0.5625,0.5625,25,False,45,21,0,21,3,True
0.7410714285714286,0.5535714285714286,0.4107142857142857,0.375,0.7619047619047619,participant,spectral_baseline_6,0.5555555555555556,0.5684523809523809,0.568452380952381,26,False,45,9,15,5,16,True
0.6071428571428572,0.5,0.5,0.5,0.5714285714285714,participant,csp_4_empirical,0.5333333333333333,0.5357142857142857,0.5357142857142857,26,False,45,12,12,9,12,True
0.5625,0.5714285714285714,0.6428571428571428,1.0,0.18181818181818182,participant,spectral_baseline_6,0.6,0.5909090909090909,0.5922619047619048,27,False,45,23,0,18,4,True
0.5625,0.6428571428571428,0.6517857142857143,0.9565217391304348,0.2727272727272727,participant,csp_4_empirical,0.6222222222222222,0.6146245059288538,0.6190476190476191,27,False,45,22,1,16,6,True
0.5982142857142857,0.5982142857142857,0.39285714285714285,0.5,0.5652173913043478,participant,spectral_baseline_6,0.5333333333333333,0.5326086956521738,0.5297619047619048,28,False,45,11,11,10,13,True
0.5714285714285714,0.5446428571428572,0.49107142857142855,0.8636363636363636,0.21739130434782608,participant,csp_4_empirical,0.5333333333333333,0.5405138339920948,0.5357142857142857,28,False,45,19,3,18,5,True
0.5,0.6428571428571428,0.6875,1.0,0.22727272727272727,participant,spectral_baseline_6,0.6222222222222222,0.6136363636363636,0.6101190476190476,29,False,45,23,0,17,5,True
1.0,1.0,1.0,1.0,1.0,participant,csp_4_empirical,1.0,1.0,1.0,29,False,45,23,0,0,22,True
0.6785714285714286,0.5535714285714286,0.5446428571428572,0.8095238095238095,0.375,participant,spectral_baseline_6,0.5777777777777777,0.5922619047619048,0.5922619047619048,30,False,45,17,4,15,9,True
0.5714285714285714,0.5,0.7142857142857143,0.19047619047619047,1.0,participant,csp_4_empirical,0.6222222222222222,0.5952380952380952,0.5952380952380952,30,False,45,4,17,0,24,True
0.4107142857142857,0.5178571428571428,0.5357142857142857,0.36363636363636365,0.6086956521739131,participant,spectral_baseline_6,0.4888888888888889,0.48616600790513836,0.4880952380952381,31,False,45,8,14,9,14,True
0.4732142857142857,0.6428571428571428,0.5803571428571428,0.3181818181818182,0.8260869565217391,participant,csp_4_empirical,0.5777777777777777,0.5721343873517787,0.5654761904761904,31,False,45,7,15,4,19,True
0.5625,0.4375,0.42857142857142855,0.043478260869565216,0.9090909090909091,participant,spectral_baseline_6,0.4666666666666667,0.4762845849802371,0.4761904761904762,32,False,45,1,22,2,20,True
0.7142857142857143,0.45535714285714285,0.5,0.782608695652174,0.36363636363636365,participant,csp_4_empirical,0.5777777777777777,0.5731225296442688,0.5565476190476191,32,False,45,18,5,14,8,True
0.6875,0.5892857142857143,0.6428571428571428,0.9130434782608695,0.36363636363636365,participant,spectral_baseline_6,0.6444444444444445,0.6383399209486166,0.6398809523809524,33,False,45,21,2,14,8,True
0.6607142857142857,0.5892857142857143,0.6607142857142857,0.6956521739130435,0.5909090909090909,participant,csp_4_empirical,0.6444444444444445,0.6432806324110671,0.6369047619047619,33,False,45,16,7,9,13,True
0.42857142857142855,0.7857142857142857,0.6428571428571428,0.9523809523809523,0.2857142857142857,participant,spectral_baseline_6,0.6190476190476191,0.6190476190476191,0.6190476190476191,34,False,42,20,1,15,6,True
0.7142857142857143,0.9285714285714286,1.0,0.8571428571428571,0.9047619047619048,participant,csp_4_empirical,0.8809523809523809,0.8809523809523809,0.880952380952381,34,False,42,18,3,2,19,True
0.5535714285714286,0.5625,0.6785714285714286,0.9047619047619048,0.2916666666666667,participant,spectral_baseline_6,0.5777777777777777,0.5982142857142857,0.5982142857142857,35,False,45,19,2,17,7,True
0.7857142857142857,0.7857142857142857,0.8571428571428572,0.6190476190476191,1.0,participant,csp_4_empirical,0.8222222222222222,0.8095238095238095,0.8095238095238094,35,False,45,13,8,0,24,True
0.6160714285714286,0.7857142857142857,0.5446428571428572,0.43478260869565216,0.8636363636363636,participant,spectral_baseline_6,0.6444444444444445,0.6492094861660079,0.6488095238095238,36,False,45,10,13,3,19,True
0.7857142857142857,0.625,0.5178571428571428,0.9130434782608695,0.36363636363636365,participant,csp_4_empirical,0.6444444444444445,0.6383399209486166,0.6428571428571428,36,False,45,21,2,14,8,True
0.42857142857142855,0.5,0.5714285714285714,0.5238095238095238,0.47619047619047616,participant,spectral_baseline_6,0.5,0.5,0.5,37,False,42,11,10,11,10,True
0.5,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.7619047619047619,participant,csp_4_empirical,0.5476190476190477,0.5476190476190476,0.5476190476190476,37,False,42,7,14,5,16,True
0.5357142857142857,0.2767857142857143,0.5982142857142857,0.4090909090909091,0.5217391304347826,participant,spectral_baseline_6,0.4666666666666667,0.4654150197628458,0.4702380952380952,38,False,45,9,13,11,12,True
0.6428571428571428,0.42857142857142855,0.5,0.09090909090909091,0.9565217391304348,participant,csp_4_empirical,0.5333333333333333,0.5237154150197628,0.5238095238095238,38,False,45,2,20,1,22,True
0.4642857142857143,0.4642857142857143,0.33035714285714285,0.4090909090909091,0.43478260869565216,participant,spectral_baseline_6,0.4222222222222222,0.42193675889328064,0.4196428571428572,39,False,45,9,13,13,10,True
0.39285714285714285,0.4732142857142857,0.4017857142857143,0.5,0.34782608695652173,participant,csp_4_empirical,0.4222222222222222,0.42391304347826086,0.4226190476190476,39,False,45,11,11,15,8,True
0.6607142857142857,0.41964285714285715,0.2767857142857143,0.43478260869565216,0.45454545454545453,participant,spectral_baseline_6,0.4444444444444444,0.44466403162055335,0.4523809523809524,40,False,45,10,13,12,10,True
0.4375,0.5,0.625,0.9565217391304348,0.09090909090909091,participant,csp_4_empirical,0.5333333333333333,0.5237154150197628,0.5208333333333334,40,False,45,22,1,20,2,True
0.3571428571428571,0.4285714285714286,0.5714285714285714,0.5714285714285714,0.3333333333333333,participant,spectral_baseline_6,0.4523809523809524,0.45238095238095233,0.4523809523809524,41,False,42,12,9,14,7,True
0.6428571428571428,0.7857142857142857,0.5,0.9047619047619048,0.38095238095238093,participant,csp_4_empirical,0.6428571428571429,0.6428571428571428,0.6428571428571428,41,False,42,19,2,13,8,True
0.6875,0.6160714285714286,0.5535714285714286,0.9047619047619048,0.3333333333333333,participant,spectral_baseline_6,0.6,0.6190476190476191,0.6190476190476191,42,False,45,19,2,16,8,True
1.0,0.8660714285714286,1.0,0.9523809523809523,0.9583333333333334,participant,csp_4_empirical,0.9555555555555556,0.9553571428571428,0.9553571428571429,42,False,45,20,1,1,23,True
0.45535714285714285,0.4732142857142857,0.39285714285714285,0.3181818181818182,0.5652173913043478,participant,spectral_baseline_6,0.4444444444444444,0.441699604743083,0.44047619047619047,43,False,45,7,15,10,13,True
0.6428571428571428,0.625,0.6428571428571428,0.2727272727272727,1.0,participant,csp_4_empirical,0.6444444444444445,0.6363636363636364,0.6369047619047619,43,False,45,6,16,0,23,True
0.75,0.3214285714285714,0.3482142857142857,0.6818181818181818,0.2608695652173913,participant,spectral_baseline_6,0.4666666666666667,0.4713438735177865,0.47321428571428564,44,False,45,15,7,17,6,True
