subject,riemannian_balanced_accuracy,historical_model,historical_balanced_accuracy,riemannian_minus_historical,QC_riemannian_minus_historical
21,0.5208333333333334,csp_4_empirical,0.5595238095238095,-0.038690476190476164,-0.038690476190476164
22,0.5208333333333334,csp_4_empirical,0.49404761904761907,0.0267857142857143,0.021230158730158766
23,0.6339285714285714,csp_4_empirical,0.6428571428571428,-0.008928571428571397,0.03968253968253965
24,0.5,csp_4_empirical,0.4136904761904761,0.08630952380952389,0.08630952380952389
25,0.5476190476190477,csp_4_empirical,0.5625,-0.014880952380952328,0.00436507936507935
26,0.5863095238095238,csp_4_empirical,0.5357142857142857,0.05059523809523814,0.07638888888888895
27,0.5773809523809524,csp_4_empirical,0.6190476190476191,-0.04166666666666663,-0.04761904761904756
28,0.5297619047619048,csp_4_empirical,0.5357142857142857,-0.005952380952380931,0.03908730158730167
29,0.8035714285714285,csp_4_empirical,1.0,-0.1964285714285715,-0.17063492063492058
30,0.5178571428571429,csp_4_empirical,0.5952380952380952,-0.07738095238095233,-0.09523809523809523
31,0.5744047619047619,csp_4_empirical,0.5654761904761904,0.008928571428571508,0.008928571428571508
32,0.5505952380952381,csp_4_empirical,0.5565476190476191,-0.005952380952380931,0.012896825396825462
33,0.6845238095238096,csp_4_empirical,0.6369047619047619,0.04761904761904778,0.11448412698412691
34,0.7619047619047619,csp_4_empirical,0.880952380952381,-0.11904761904761918,-0.11904761904761918
35,0.6875,csp_4_empirical,0.8095238095238094,-0.12202380952380942,-0.11011904761904756
36,0.6011904761904762,csp_4_empirical,0.6428571428571428,-0.04166666666666663,-0.009920634920634885
37,0.38095238095238093,csp_4_empirical,0.5476190476190476,-0.16666666666666663,-0.16507936507936505
38,0.5744047619047619,csp_4_empirical,0.5238095238095238,0.050595238095238027,0.006547619047619024
39,0.4791666666666667,csp_4_empirical,0.4226190476190476,0.05654761904761907,0.06150793650793651
40,0.37797619047619047,csp_4_empirical,0.5208333333333334,-0.1428571428571429,-0.08789682539682547
41,0.6904761904761904,csp_4_empirical,0.6428571428571428,0.04761904761904756,0.02857142857142858
42,0.8630952380952381,csp_4_empirical,0.9553571428571429,-0.09226190476190477,-0.1061507936507936
43,0.6875,csp_4_empirical,0.6369047619047619,0.05059523809523814,0.057539682539682446
44,0.7172619047619048,csp_4_empirical,0.7113095238095237,0.005952380952381042,0.005952380952381042
45,0.6964285714285715,csp_4_empirical,0.5625,0.1339285714285715,0.16289682539682537
46,0.5773809523809524,csp_4_empirical,0.5982142857142857,-0.02083333333333326,-0.1386904761904762
47,0.3928571428571428,csp_4_empirical,0.49702380952380953,-0.10416666666666674,-0.07837301587301587
48,0.7678571428571428,csp_4_empirical,0.4791666666666667,0.2886904761904761,0.2541666666666667
49,0.5922619047619048,csp_4_empirical,0.5029761904761905,0.0892857142857143,0.08829365079365081
50,0.5,csp_4_empirical,0.5238095238095238,-0.023809523809523836,-0.023809523809523836
51,0.5238095238095238,csp_4_empirical,0.4761904761904761,0.04761904761904773,0.1932539682539683
52,0.6726190476190476,csp_4_empirical,0.7083333333333334,-0.03571428571428581,-0.06726190476190474
53,0.49404761904761907,csp_4_empirical,0.5922619047619048,-0.0982142857142857,-0.09920634920634919
54,0.6309523809523809,csp_4_empirical,0.5,0.13095238095238093,0.13095238095238093
55,0.5386904761904762,csp_4_empirical,0.6369047619047619,-0.0982142857142857,-0.10218253968253965
56,0.5744047619047619,csp_4_empirical,0.5,0.07440476190476186,0.08531746031746035
57,0.5773809523809524,csp_4_empirical,0.5,0.07738095238095244,0.09325396825396826
58,0.6220238095238095,csp_4_empirical,0.6339285714285714,-0.011904761904761862,-0.023809523809523725
59,0.5208333333333334,csp_4_empirical,0.6071428571428572,-0.08630952380952384,-0.08630952380952384
60,0.5625,csp_4_empirical,0.7023809523809524,-0.13988095238095244,-0.13988095238095244
61,0.6726190476190478,csp_4_empirical,0.6964285714285715,-0.023809523809523725,-0.03333333333333344
62,0.6309523809523809,csp_4_empirical,0.8660714285714285,-0.23511904761904756,-0.17162698412698396
63,0.5625,csp_4_empirical,0.49702380952380953,0.06547619047619047,0.044642857142857095
64,0.5238095238095238,csp_4_empirical,0.7142857142857143,-0.19047619047619047,-0.19047619047619047
65,0.46428571428571425,csp_4_empirical,0.5833333333333334,-0.11904761904761912,-0.08333333333333337
66,0.3898809523809524,csp_4_empirical,0.5,-0.11011904761904762,-0.11011904761904762
67,0.46428571428571425,csp_4_empirical,0.5208333333333334,-0.056547619047619124,-0.056547619047619124
68,0.7172619047619048,csp_4_empirical,0.7172619047619048,0.0,-0.036706349206349076
69,0.574404761904762,csp_4_empirical,0.49702380952380953,0.07738095238095244,0.10813492063492058
70,0.5773809523809524,csp_4_empirical,0.6160714285714285,-0.03869047619047605,-0.03194444444444433
71,0.5208333333333334,csp_4_empirical,0.5714285714285715,-0.05059523809523814,-0.05059523809523814
72,0.7857142857142857,csp_4_empirical,0.8809523809523809,-0.09523809523809523,-0.14484126984126988
73,0.5714285714285715,csp_4_empirical,0.6666666666666666,-0.09523809523809512,-0.0623015873015873
74,0.5,csp_4_empirical,0.4761904761904762,0.02380952380952378,0.05158730158730157
75,0.5863095238095238,csp_4_empirical,0.6815476190476191,-0.09523809523809523,-0.06428571428571439
76,0.5714285714285715,csp_4_empirical,0.5,0.07142857142857151,0.06944444444444442
77,0.46428571428571425,csp_4_empirical,0.49107142857142855,-0.0267857142857143,-0.0267857142857143
78,0.5565476190476191,csp_4_empirical,0.5357142857142857,0.02083333333333337,-0.02777777777777779
79,0.6071428571428571,csp_4_empirical,0.511904761904762,0.09523809523809512,0.0005952380952380931
80,0.49702380952380953,csp_4_empirical,0.5714285714285714,-0.07440476190476186,-0.07837301587301582
