model,development_subject_count,median_subject_balanced_accuracy,q25_subject_balanced_accuracy,q75_subject_balanced_accuracy,minimum_subject_balanced_accuracy,maximum_subject_balanced_accuracy,fraction_subjects_above_0_5,fraction_subjects_at_or_above_0_6,fraction_subjects_with_at_least_two_folds_above_0_5,median_fold_range,selection_uses_one_score_per_subject,evaluation_subject_outcome_used,qc_excluded_median_subject_balanced_accuracy,qc_minus_primary_median_balanced_accuracy,selected_final_family_candidate
csp_4_empirical,20,0.6755952380952381,0.5751488095238095,0.7879464285714286,0.43154761904761907,0.9791666666666666,0.9,0.6,0.8,0.16964285714285712,True,False,0.6458333333333333,-0.029761904761904878,True
csp_4_ledoit_wolf,20,0.6577380952380953,0.5944940476190477,0.7589285714285715,0.4077380952380952,0.9791666666666666,0.85,0.7,0.8,0.16071428571428575,True,False,0.6403769841269842,-0.01736111111111116,False
csp_6_ledoit_wolf,20,0.6547619047619048,0.5349702380952381,0.7730654761904763,0.42559523809523814,0.9583333333333334,0.8,0.6,0.75,0.20089285714285715,True,False,0.6506944444444445,-0.004067460317460303,False
spectral_baseline_6,20,0.5699404761904762,0.49330357142857134,0.6941964285714286,0.3363095238095238,0.9077380952380952,0.75,0.45,0.7,0.15178571428571436,True,False,0.5719246031746031,0.001984126984126977,True
spectral_baseline_9,20,0.5535714285714286,0.47916666666666663,0.7321428571428571,0.3511904761904762,0.9077380952380952,0.7,0.45,0.55,0.17410714285714285,True,False,0.5956349206349206,0.042063492063492025,False
