comparison,median_gain,q25,q75,improved,worsened,tied,p_unadjusted,p_holm_three
B-A,0.0025297619047618958,-0.02353670634920635,0.06294642857142857,45,38,3,0.06235761786639217,0.12471523573278434
C-B,-0.038690476190476164,-0.10917658730158723,0.023139880952380926,30,56,0,0.00010930227781933575,0.00032790683345800724
C-A,-0.01706349206349217,-0.09561011904761905,0.03707837301587308,35,50,1,0.06800005576633417,0.12471523573278434
