subject,method,qc_sensitivity,primary_mean_scenario_test_run_balanced_accuracy,scenario_test_run_balanced_accuracy_range,pooled_accuracy,fists_recall,feet_recall,trial_prediction_appearances,group_observational_unit
1,source_zero_shot,False,0.5208333333333334,0.0625,0.4888888888888889,1.0,0.041666666666666664,90,participant
1,source_zero_shot,True,0.5277777777777778,0.08333333333333337,0.5128205128205128,1.0,0.05,78,participant
1,source_csp_target_lda_source_scaler,False,0.7127976190476192,0.3482142857142857,0.7111111111111111,0.7380952380952381,0.6875,90,participant
1,source_csp_target_lda_source_scaler,True,0.7658730158730158,0.3571428571428572,0.7564102564102564,0.7631578947368421,0.75,78,participant
1,source_csp_target_lda_target_scaler,False,0.7127976190476192,0.3482142857142857,0.7111111111111111,0.7380952380952381,0.6875,90,participant
1,source_csp_target_lda_target_scaler,True,0.7658730158730158,0.3571428571428572,0.7564102564102564,0.7631578947368421,0.75,78,participant
1,target_csp_empirical,False,0.9568452380952381,0.1964285714285714,0.9555555555555556,0.9761904761904762,0.9375,90,participant
1,target_csp_empirical,True,0.9761904761904762,0.1428571428571429,0.9743589743589743,0.9736842105263158,0.975,78,participant
1,target_csp_ledoit_wolf,False,0.9672619047619048,0.1339285714285714,0.9666666666666667,0.9761904761904762,0.9583333333333334,90,participant
1,target_csp_ledoit_wolf,True,0.9880952380952381,0.0714285714285714,0.9871794871794872,0.9736842105263158,1.0,78,participant
2,source_zero_shot,False,0.6636904761904762,0.1339285714285715,0.6666666666666666,0.7083333333333334,0.6190476190476191,90,participant
2,source_zero_shot,True,0.6753968253968253,0.13095238095238093,0.6571428571428571,0.7222222222222222,0.5882352941176471,70,participant
2,source_csp_target_lda_source_scaler,False,0.6339285714285714,0.1875,0.6333333333333333,0.625,0.6428571428571429,90,participant
2,source_csp_target_lda_source_scaler,True,0.5996031746031746,0.26904761904761904,0.6,0.5833333333333334,0.6176470588235294,70,participant
2,source_csp_target_lda_target_scaler,False,0.6339285714285714,0.1875,0.6333333333333333,0.625,0.6428571428571429,90,participant
2,source_csp_target_lda_target_scaler,True,0.5996031746031746,0.26904761904761904,0.6,0.5833333333333334,0.6176470588235294,70,participant
2,target_csp_empirical,False,0.7261904761904763,0.375,0.7111111111111111,0.5,0.9523809523809523,90,participant
2,target_csp_empirical,True,0.689484126984127,0.4285714285714286,0.6857142857142857,0.4444444444444444,0.9411764705882353,70,participant
2,target_csp_ledoit_wolf,False,0.7261904761904763,0.375,0.7111111111111111,0.5,0.9523809523809523,90,participant
2,target_csp_ledoit_wolf,True,0.689484126984127,0.4285714285714286,0.6857142857142857,0.4444444444444444,0.9411764705882353,70,participant
3,source_zero_shot,False,0.5178571428571429,0.07142857142857145,0.4888888888888889,0.9523809523809523,0.08333333333333333,90,participant
3,source_zero_shot,True,0.5178571428571429,0.07142857142857145,0.4888888888888889,0.9523809523809523,0.08333333333333333,90,participant
3,source_csp_target_lda_source_scaler,False,0.49702380952380953,0.1696428571428572,0.4888888888888889,0.6190476190476191,0.375,90,participant
3,source_csp_target_lda_source_scaler,True,0.49702380952380953,0.1696428571428572,0.4888888888888889,0.6190476190476191,0.375,90,participant
3,source_csp_target_lda_target_scaler,False,0.49702380952380953,0.1696428571428572,0.4888888888888889,0.6190476190476191,0.375,90,participant
3,source_csp_target_lda_target_scaler,True,0.49702380952380953,0.1696428571428572,0.4888888888888889,0.6190476190476191,0.375,90,participant
3,target_csp_empirical,False,0.5133928571428571,0.3392857142857143,0.5222222222222223,0.38095238095238093,0.6458333333333334,90,participant
3,target_csp_empirical,True,0.5133928571428571,0.3392857142857143,0.5222222222222223,0.38095238095238093,0.6458333333333334,90,participant
3,target_csp_ledoit_wolf,False,0.44196428571428575,0.3482142857142858,0.4444444444444444,0.40476190476190477,0.4791666666666667,90,participant
3,target_csp_ledoit_wolf,True,0.44196428571428575,0.3482142857142858,0.4444444444444444,0.40476190476190477,0.4791666666666667,90,participant
4,source_zero_shot,False,0.4791666666666667,0.0625,0.4888888888888889,0.0,0.9565217391304348,90,participant
4,source_zero_shot,True,0.4761904761904762,0.07142857142857145,0.5454545454545454,0.0,0.9473684210526315,66,participant
4,source_csp_target_lda_source_scaler,False,0.5401785714285713,0.25000000000000006,0.5333333333333333,0.6818181818181818,0.391304347826087,90,participant
4,source_csp_target_lda_source_scaler,True,0.5468253968253968,0.23333333333333334,0.5151515151515151,0.7142857142857143,0.3684210526315789,66,participant
4,source_csp_target_lda_target_scaler,False,0.5401785714285713,0.25000000000000006,0.5333333333333333,0.6818181818181818,0.391304347826087,90,participant
4,source_csp_target_lda_target_scaler,True,0.5468253968253968,0.23333333333333334,0.5151515151515151,0.7142857142857143,0.3684210526315789,66,participant
4,target_csp_empirical,False,0.5208333333333334,0.25892857142857145,0.5111111111111111,0.8181818181818182,0.21739130434782608,90,participant
4,target_csp_empirical,True,0.4682539682539682,0.45238095238095233,0.4393939393939394,0.7142857142857143,0.23684210526315788,66,participant
4,target_csp_ledoit_wolf,False,0.625,0.2857142857142857,0.6111111111111112,0.9318181818181818,0.30434782608695654,90,participant
4,target_csp_ledoit_wolf,True,0.613095238095238,0.2857142857142857,0.5757575757575758,0.8928571428571429,0.34210526315789475,66,participant
5,source_zero_shot,False,0.5029761904761905,0.008928571428571397,0.5111111111111111,0.9565217391304348,0.045454545454545456,90,participant
5,source_zero_shot,True,0.5069444444444445,0.02083333333333337,0.5142857142857142,0.9444444444444444,0.058823529411764705,70,participant
5,source_csp_target_lda_source_scaler,False,0.519345238095238,0.20535714285714285,0.5111111111111111,0.6521739130434783,0.36363636363636365,90,participant
5,source_csp_target_lda_source_scaler,True,0.5411706349206349,0.31249999999999994,0.5,0.6388888888888888,0.35294117647058826,70,participant
5,source_csp_target_lda_target_scaler,False,0.519345238095238,0.20535714285714285,0.5111111111111111,0.6521739130434783,0.36363636363636365,90,participant
