test_run,participant_count,median_balanced_accuracy,q25_balanced_accuracy,q75_balanced_accuracy,minimum_balanced_accuracy,maximum_balanced_accuracy,median_participant_fists_recall,median_participant_feet_recall,pooled_fists_recall,pooled_feet_recall,analysis_role
6,86,0.6696428571428572,0.5200892857142857,0.8013392857142858,0.35714285714285715,1.0,0.75,0.75,0.65527950310559,0.6933962264150944,post_hoc_matched_run_diagnostic
10,86,0.6205357142857143,0.5267857142857143,0.7745535714285714,0.33035714285714285,1.0,0.7321428571428572,0.7142857142857143,0.6396255850234009,0.672926447574335,post_hoc_matched_run_diagnostic
14,86,0.6696428571428572,0.5513392857142858,0.8035714285714286,0.26785714285714285,1.0,0.7321428571428572,0.75,0.670846394984326,0.7087227414330218,post_hoc_matched_run_diagnostic
