subject,run,candidate,median_very_low_power_ratio_to_referenced,median_motor_8_30_power_ratio_to_referenced,median_60_hz_attenuation_db_vs_referenced,median_relative_rms_change_vs_referenced,additional_60_hz_attenuation_db_vs_production,median_relative_rms_change_vs_production
1,6,no_highpass_lowpass_40,0.9994857749516781,0.9977607824907344,-61.232345259989195,0.11376977028272928,,
1,6,highpass_0.5_lowpass_40,0.8522494036335899,0.9977616767113704,-61.54256162832819,0.4626053392122376,,
1,6,highpass_1_lowpass_40_production,0.4484045989977037,0.9977767720036994,-61.94341108429629,0.5753129328096388,,
1,6,highpass_1_lowpass_45,0.44848417942261887,0.997663912223902,-58.96480758098657,0.5720989408703869,,
1,6,production_plus_60_hz_notch,0.4484765676637765,0.9979471827560736,-85.39970091452801,0.575299246271532,-23.468868932753153,0.00011231288029608816
1,10,no_highpass_lowpass_40,0.9994739503260659,0.9977474633197818,-61.25917254881283,0.16618246577141438,,
1,10,highpass_0.5_lowpass_40,0.8590007410380451,0.9977472884541776,-61.548340654013685,0.4105550110702275,,
1,10,highpass_1_lowpass_40_production,0.45261319550244367,0.9977452781435554,-61.90536174028437,0.5235966881686105,,
1,10,highpass_1_lowpass_45,0.4526971464604987,0.9976164569354906,-58.92170388656416,0.5089302926247272,,
1,10,production_plus_60_hz_notch,0.45269256729232193,0.9979181556336366,-82.85315477945923,0.5235845434198991,-20.94139203262825,0.0001146377043023097
1,14,no_highpass_lowpass_40,0.9995029753772539,0.9978385460326031,-61.283229305499006,0.1549590495994298,,
1,14,highpass_0.5_lowpass_40,0.854092197851444,0.99784093738188,-61.59783973032409,0.39497102832218606,,
1,14,highpass_1_lowpass_40_production,0.43519298484077074,0.9978200054567739,-61.934857669939305,0.5158753419726203,,
1,14,highpass_1_lowpass_45,0.4352718683275655,0.9975295411084744,-58.9757318747943,0.5110253729583886,,
1,14,production_plus_60_hz_notch,0.43526933704566806,0.9979920551744892,-82.66775096995781,0.5158615365958257,-20.711499873043913,0.0001155283966245163
