subject,source_midpoint_offset,task_direction_magnitude,source_direction_alignment,within_subject_different_task_distance,same_subject_same_task_across_runs_distance,run_direction_alignment,all_three_run_alignments_positive,zero_shot_csp_ba,zero_shot_riemannian_ba,poor_zero_shot_csp,different_subject_same_task_distance,different_subject_different_task_distance,mean_pairwise_direction_alignment
21,11.400028120605402,2.548544232817372,-0.0067304449174295415,3.066480199800594,5.53289262604563,0.5085337022794308,True,0.5595238095238095,0.5208333333333334,False,12.904523871769957,12.893922847537851,-0.026641969246924184
22,6.254339039715099,1.9049176067151161,0.11910753459962867,2.8371875827155595,3.8696716287492987,0.17593766182683504,True,0.49404761904761907,0.5208333333333334,True,9.31349272998995,9.323161890933807,0.04288111121912057
23,5.714880554071853,1.438606221856075,0.21354718719547952,2.4120779703634194,3.028637878692546,0.037204792821897904,False,0.6428571428571428,0.6339285714285714,False,9.254632574132549,9.263888718182866,0.06069036707610982
24,14.847292031835938,1.468248564419684,0.014917421260557789,2.1631218923127555,4.993486771111861,0.18496037823986092,True,0.4136904761904761,0.5,True,16.29989142240962,16.297412434151244,-0.01805666069201748
25,6.088974733266927,1.4735324638272986,0.23504052618042146,2.404401798865439,3.390618628968507,0.06327464725833472,True,0.5625,0.5476190476190477,False,9.573480074410437,9.586131950042297,0.07073417353773909
26,5.418893577172043,1.411440970140469,0.046179673382042104,2.250707388649563,6.739615192635501,0.0920226487195569,False,0.5357142857142857,0.5863095238095238,False,9.116337067497883,9.116931565394975,0.00896376384366341
27,4.323331793144829,2.07842124944814,0.22182750707415513,3.1154229254343107,3.947800912627087,0.14397707546709174,True,0.6190476190476191,0.5773809523809524,False,8.414087348822632,8.427026299310404,0.057214376117497696
28,5.107468171640664,1.648094694932,0.031072785145204042,2.8474093622565833,3.684878904137534,0.0022107815370613084,False,0.5357142857142857,0.5297619047619048,False,8.579268447348884,8.580011727942324,0.0019586442431509484
29,7.901227823001292,5.0982761186353,0.34805034942424606,5.466011520770972,4.825846172192991,0.7998498291152875,True,1.0,0.8035714285714285,False,10.654873503752167,10.715451723072102,0.0974682564807219
30,9.73758026218141,1.4728028432788325,0.28713596212385467,2.396245183642868,2.9245763946679535,0.040381328313656976,False,0.5952380952380952,0.5178571428571429,False,11.732759386501245,11.747626452069225,0.09424364476710254
31,9.922626607362666,1.66125310902705,0.32255967924803636,2.401248133612341,3.2921329414102254,0.21758331557263078,True,0.5654761904761904,0.5744047619047619,False,11.37794280021558,11.395553777920307,0.0963089053641484
32,6.638867264412288,1.4223790658138276,0.0916769997909715,2.3645372314652313,5.582052093154023,0.04373361245200522,False,0.5565476190476191,0.5505952380952381,False,9.822513476982595,9.824540645869725,0.022066639117892778
33,5.603033242120488,2.6584241656737087,0.19125863050407324,3.444306620309311,3.9633700969876102,0.37604369055827114,True,0.6369047619047619,0.6845238095238096,False,8.958219557904334,8.976450623856595,0.05843764875435762
34,7.918341845515336,2.8741592641306393,0.3930028776287522,3.989503605173096,4.454384383079248,0.24242885454705632,True,0.880952380952381,0.7619047619047619,False,9.955536408457721,9.991901609767947,0.11626474080963702
35,11.210017265284124,3.905502416763273,0.2621800766947051,4.274225743076884,3.6338885603830455,0.7495292327440737,True,0.8095238095238094,0.6875,False,12.744623327334827,12.760185432715431,0.06459675378506191
36,6.692899996058007,1.4276201590780755,0.24413635320383845,2.323766824859495,3.138207448416784,0.06426289196099624,True,0.6428571428571428,0.6011904761904762,False,9.198559034520478,9.21395040368187,0.08100720826777585
37,8.838937652402628,1.4634990276468898,0.024611306682119395,2.2175984097789367,5.223205863474157,0.14100550715509372,True,0.5476190476190476,0.38095238095238093,False,11.444982170128794,11.447675602729328,0.022320995838042288
38,5.907187755945387,1.4131744006098999,0.03735578284196785,2.4153674714058186,4.909090710963419,0.014149274148863284,False,0.5238095238095238,0.5744047619047619,False,9.276308191373186,9.27602636853424,-0.0003198806741642439
39,5.41555680884436,1.6640790859872192,-0.11650136805912925,2.82372388507987,4.1755666318679765,0.021014324669177395,False,0.4226190476190476,0.4791666666666667,True,8.671626792803151,8.664651796709455,-0.03396969740437583
40,9.394028861719622,1.7649370615840916,-0.057947326659873885,2.934969936779624,3.366223165715566,0.040549701072923564,False,0.5208333333333334,0.37797619047619047,False,11.885699896737954,11.8848705769416,-0.01997180255264511
41,6.990063712565664,1.3650664328185016,0.22296286682847496,2.2775902959640697,3.7469528896056867,0.03893885106825131,False,0.6428571428571428,0.6904761904761904,False,9.696671596414983,9.706276981974526,0.06230302103178407
42,9.292447323262534,4.632341148652232,0.4542378235358226,5.034323457776531,3.2731688909517795,0.76850397136322,True,0.9553571428571429,0.8630952380952381,False,11.28955904183356,11.36207471855564,0.13825996117067285
43,6.67767621940215,1.9722538349567706,0.2167086274790943,2.9429752348140243,4.658651501547528,0.1741365684917392,True,0.6369047619047619,0.6875,False,9.683782217323735,9.700848538718697,0.07094612464635822
44,7.675355703120752,3.2692945551886843,0.30821100189757755,3.888820773482061,3.5953101888684906,0.5463244470123624,True,0.7113095238095237,0.7172619047619048,False,9.935099177628485,9.975238507300332,0.08728392247617184
45,8.22483484272478,1.2967823246158519,0.12406852326108088,2.01348417294349,4.397207775158924,0.1217832855777009,True,0.5625,0.6964285714285715,False,10.934138510311978,10.936771662357213,0.026112167940385005
46,6.499629587085543,1.6437767381082582,0.15738463413935944,2.606719726512916,2.812684721212444,0.09540062019152917,True,0.5982142857142857,0.5773809523809524,False,9.455899379280694,9.46648627116736,0.06034921957610402
47,4.402418932373361,1.390631749426479,0.019375035701761297,2.4872939495763533,3.9542070945702092,-0.030990519387260284,False,0.49702380952380953,0.3928571428571428,True,8.335584974994873,8.339216381861238,0.019188101151742215
48,7.274528381372967,2.810404404448384,0.3387807907292326,3.4743985396074977,6.034719180277555,0.4662185844731197,True,0.4791666666666667,0.7678571428571428,True,9.735923606599027,9.76991812150273,0.08257108120578185
49,5.571369063348119,1.62294148207342,0.1366173981990376,2.5631520895115814,5.292259789836891,0.09960964760692208,False,0.5029761904761905,0.5922619047619048,False,9.19657821002422,9.206748926399456,0.05655280636367251
50,6.375289873917623,1.7297606606744071,-0.05857726948356449,2.616035891486049,3.3917874661398986,0.14292823934222648,True,0.5238095238095238,0.5,False,9.890472652412873,9.886474294819593,-0.014103288470378214
51,6.273383135882444,1.9647883800688488,-0.07507281108421941,2.981312211072749,3.512705156795383,0.14811345343565252,True,0.4761904761904761,0.5238095238095238,True,9.343822915424758,9.333856933222734,-0.053176580119115496
52,6.85065941350497,2.19629663621049,0.30825562584139377,3.620669836483835,3.9673529244969394,0.060269001447687175,False,0.7083333333333334,0.6726190476190476,False,9.247518468683236,9.273977890384083,0.09289410551432267
53,7.938716886193581,1.3338585940588652,0.12240947481384391,2.216474539143152,3.6796161578990545,0.040369705105582555,True,0.5922619047619048,0.49404761904761907,False,11.015998286780057,11.022506236396374,0.04729038470217452
54,7.761883320245397,1.8000972948104834,0.27308182909566703,2.83201527335271,3.2847800511793306,0.10785505708480936,True,0.5,0.6309523809523809,True,10.048044822723647,10.06654240643365,0.07856327531086718
55,6.717033485178135,4.014007697441977,0.2350267905200289,4.5774197779647094,3.8546646418970862,0.6414936557750899,True,0.6369047619047619,0.5386904761904762,False,9.659224965490582,9.701332568666736,0.07347626964632258
56,6.666423529618742,1.7922091407063665,0.2894143665937571,2.6122389732772895,2.9483440088557695,0.2007982332415855,True,0.5,0.5744047619047619,True,10.02261315775924,10.040670071471059,0.08548876198864985
57,6.021851120867335,1.5049797357869896,0.11795506508292887,2.454290452404191,4.172344271398765,0.06312493795272543,True,0.5,0.5773809523809524,True,9.439683547257632,9.445719053882742,0.03513276484860504
58,10.244126129276914,1.362644718391239,0.2071362283653074,1.9975452209419873,2.8692631942076656,0.19494603385670375,True,0.6339285714285714,0.6220238095238095,False,12.733846252880515,12.73899648626679,0.05206317912446193
59,8.912211974176582,1.6719235319049328,0.15702213512572594,2.7930664896834436,3.0881118861829298,0.04043222870792847,False,0.6071428571428572,0.5208333333333334,False,10.842040909932253,10.851384724491057,0.057695221003447615
60,6.5846459660146905,1.7343160161592373,0.31522979419697733,2.5052273272135963,4.082273505875142,0.21512553443751592,True,0.7023809523809524,0.5625,False,9.659150846693896,9.679005682696266,0.09502667409294517
61,8.213803995836159,1.2365204501235405,0.26679218954157474,1.9947117398709875,2.334469485286544,0.07414366690829152,True,0.6964285714285715,0.6726190476190478,False,10.65329171101458,10.664226433479874,0.07931166453467788
62,10.223167440957873,2.759523191204078,0.2598745288740531,3.367308755541657,4.521888067278445,0.49443687201628705,True,0.8660714285714285,0.6309523809523809,False,11.946976576769059,11.962640935227341,0.06816136258219509
