subject,method,similarity_run_6_vs_10,similarity_run_6_vs_14,similarity_run_10_vs_14,mean_pairwise_subspace_similarity,minimum_pairwise_subspace_similarity,sign_order_and_rotation_invariant,analysis_role
21,target_csp_ledoit_wolf,0.04926144484951381,0.0934346916711827,0.10395771053576426,0.08221794901882025,0.04926144484951381,True,post_primary_exploratory_stability
22,target_csp_ledoit_wolf,0.06899077115156707,0.11739804200810822,0.07506006965518887,0.08714962760495472,0.06899077115156707,True,post_primary_exploratory_stability
23,target_csp_ledoit_wolf,0.09976488124652463,0.08291127814711624,0.10000541905757626,0.09422719281707237,0.08291127814711624,True,post_primary_exploratory_stability
24,target_csp_ledoit_wolf,0.20708852676411935,0.0718477843169968,0.10043651466286847,0.1264576085813282,0.0718477843169968,True,post_primary_exploratory_stability
25,target_csp_ledoit_wolf,0.24730383500389475,0.18567093309921207,0.11794828426471246,0.18364101745593975,0.11794828426471246,True,post_primary_exploratory_stability
26,target_csp_ledoit_wolf,0.09170582645155467,0.1338130747148008,0.08142870819645341,0.10231586978760297,0.08142870819645341,True,post_primary_exploratory_stability
27,target_csp_ledoit_wolf,0.08988236027829312,0.16772664033247545,0.15892836862011261,0.13884578974362707,0.08988236027829312,True,post_primary_exploratory_stability
28,target_csp_ledoit_wolf,0.12481833323972313,0.0875889074327412,0.10412078791873697,0.10550934286373377,0.0875889074327412,True,post_primary_exploratory_stability
29,target_csp_ledoit_wolf,0.343991906933828,0.3619257751870465,0.33086456978264334,0.34559408396783925,0.33086456978264334,True,post_primary_exploratory_stability
30,target_csp_ledoit_wolf,0.21174419679763035,0.25043149712096635,0.19804477235192208,0.2200734887568396,0.19804477235192208,True,post_primary_exploratory_stability
31,target_csp_ledoit_wolf,0.17747597477623994,0.15097947843066034,0.1067794394156314,0.1450782975408439,0.1067794394156314,True,post_primary_exploratory_stability
32,target_csp_ledoit_wolf,0.11047002618355026,0.10171886604053919,0.15416106574562966,0.12211665265657302,0.10171886604053919,True,post_primary_exploratory_stability
33,target_csp_ledoit_wolf,0.35500176956392837,0.24621814739799755,0.2558366335286866,0.28568551683020416,0.24621814739799755,True,post_primary_exploratory_stability
34,target_csp_ledoit_wolf,0.25835106350041404,0.2345630906965238,0.21263398954239235,0.2351827145797767,0.21263398954239235,True,post_primary_exploratory_stability
35,target_csp_ledoit_wolf,0.34286125935153255,0.37385393150690344,0.4700761906727685,0.39559712717706813,0.34286125935153255,True,post_primary_exploratory_stability
36,target_csp_ledoit_wolf,0.12351470079209469,0.07173188402344301,0.08402254332808848,0.09308970938120871,0.07173188402344301,True,post_primary_exploratory_stability
37,target_csp_ledoit_wolf,0.08784975661130082,0.12487132045633278,0.17681588364057457,0.12984565356940272,0.08784975661130082,True,post_primary_exploratory_stability
38,target_csp_ledoit_wolf,0.08275722186887821,0.042329724012800204,0.09198475500879456,0.07235723363015766,0.042329724012800204,True,post_primary_exploratory_stability
39,target_csp_ledoit_wolf,0.044090271158663985,0.11750538544636667,0.09184786025352643,0.0844811722861857,0.044090271158663985,True,post_primary_exploratory_stability
40,target_csp_ledoit_wolf,0.15143353147984603,0.11183825066764104,0.14502566104889714,0.13609914773212808,0.11183825066764104,True,post_primary_exploratory_stability
41,target_csp_ledoit_wolf,0.07769540801550563,0.09455600198389393,0.08417880829528807,0.08547673943156253,0.07769540801550563,True,post_primary_exploratory_stability
42,target_csp_ledoit_wolf,0.42811997228000687,0.34875854798739064,0.2902802053625044,0.35571957520996733,0.2902802053625044,True,post_primary_exploratory_stability
43,target_csp_ledoit_wolf,0.16601295051831239,0.184279263498699,0.2413413788565964,0.19721119762453596,0.16601295051831239,True,post_primary_exploratory_stability
44,target_csp_ledoit_wolf,0.07316230229147988,0.2104364743741245,0.11173626597804652,0.13177834754788365,0.07316230229147988,True,post_primary_exploratory_stability
