subject,baseline_balanced_accuracy,unilateral_csp_balanced_accuracy,bilateral_csp_balanced_accuracy
21,0.4613095238095239,0.6488095238095238,0.5654761904761905
22,0.4702380952380952,0.5,0.7351190476190478
23,0.5565476190476191,0.5148809523809524,0.5178571428571429
24,0.5386904761904762,0.4583333333333333,0.44940476190476186
25,0.5714285714285715,0.5089285714285713,0.7559523809523809
26,0.5148809523809524,0.6160714285714285,0.5
27,0.6190476190476191,0.6458333333333334,0.6577380952380952
28,0.6071428571428571,0.4047619047619048,0.574404761904762
29,0.8690476190476191,1.0,0.9791666666666666
30,0.4613095238095239,0.431547619047619,0.6607142857142857
31,0.6041666666666666,0.8898809523809524,0.8452380952380952
32,0.5535714285714286,0.5238095238095237,0.5178571428571429
33,0.6428571428571429,0.755952380952381,0.6636904761904763
34,0.7380952380952381,0.6904761904761904,0.880952380952381
35,0.5982142857142857,0.6934523809523809,0.9523809523809524
36,0.5029761904761906,0.5684523809523809,0.7738095238095238
37,0.5238095238095237,0.5238095238095238,0.6190476190476191
38,0.5267857142857143,0.613095238095238,0.5267857142857143
39,0.6696428571428572,0.5773809523809524,0.6101190476190476
40,0.37202380952380953,0.5,0.5744047619047619
41,0.619047619047619,0.4761904761904762,0.5476190476190476
42,0.6190476190476191,0.7797619047619048,0.9791666666666666
43,0.5267857142857143,0.44940476190476186,0.9523809523809524
44,0.5446428571428571,0.5476190476190476,0.755952380952381
45,0.4791666666666667,0.5654761904761906,0.5833333333333334
46,0.5297619047619048,0.4613095238095238,0.6904761904761906
47,0.5565476190476191,0.613095238095238,0.42857142857142855
48,0.6041666666666666,0.6845238095238096,0.7916666666666666
49,0.3958333333333333,0.7053571428571429,0.6726190476190476
50,0.574404761904762,0.5029761904761905,0.6666666666666666
51,0.4761904761904762,0.4761904761904762,0.6428571428571429
52,0.5892857142857143,0.6160714285714285,0.8452380952380952
53,0.5297619047619048,0.7976190476190478,0.46428571428571425
54,0.7410714285714285,0.7619047619047619,0.6845238095238094
55,0.6904761904761904,0.7886904761904762,0.9523809523809524
56,0.3988095238095238,0.8303571428571429,0.8482142857142857
57,0.6011904761904763,0.4702380952380952,0.6190476190476191
58,0.48214285714285704,0.5208333333333334,0.7321428571428572
59,0.41964285714285704,0.48214285714285715,0.5178571428571428
60,0.6696428571428571,0.7708333333333334,0.7738095238095237
61,0.3958333333333333,0.6488095238095238,0.6904761904761904
62,0.6279761904761904,0.9553571428571429,0.8958333333333334
63,0.5595238095238094,0.5744047619047619,0.5327380952380952
64,0.6190476190476191,0.5,0.4761904761904762
65,0.44047619047619047,0.550595238095238,0.5089285714285714
66,0.5595238095238094,0.4761904761904761,0.568452380952381
67,0.49702380952380953,0.5446428571428571,0.5565476190476191
68,0.4583333333333333,0.4970238095238095,0.630952380952381
69,0.4404761904761905,0.5297619047619048,0.6845238095238096
70,0.5565476190476191,0.630952380952381,0.9553571428571429
71,0.42857142857142855,0.6011904761904762,0.8660714285714285
72,0.7380952380952381,0.8571428571428572,0.9761904761904763
73,0.5238095238095238,0.5,0.8333333333333334
74,0.45238095238095233,0.5,0.5
75,0.5089285714285715,0.5565476190476191,0.6904761904761904
76,0.2857142857142857,0.4285714285714286,0.5
77,0.49107142857142855,0.40178571428571425,0.4196428571428572
78,0.5565476190476191,0.5982142857142857,0.49404761904761907
79,0.5714285714285715,0.44642857142857145,0.7142857142857144
80,0.4166666666666667,0.6398809523809524,0.5833333333333334
81,0.5863095238095237,0.45238095238095233,0.6220238095238095
82,0.4702380952380953,0.6845238095238096,0.6190476190476191
83,0.6160714285714285,0.5238095238095238,0.6517857142857143
84,0.6488095238095238,0.4970238095238095,0.5922619047619048
85,0.7321428571428571,0.8363095238095237,0.9375
86,0.5238095238095238,0.5238095238095238,0.7946428571428571
87,0.42559523809523814,0.49107142857142855,0.6696428571428572
89,0.6904761904761906,0.6190476190476191,0.49404761904761907
90,0.5178571428571429,0.5595238095238095,0.5803571428571429
91,0.5625,0.49702380952380953,0.75
93,0.6279761904761906,0.7410714285714285,0.8898809523809524
94,0.6190476190476191,0.8422619047619048,0.7053571428571429
95,0.6071428571428572,0.4791666666666667,0.7529761904761904
96,0.4761904761904762,0.5089285714285714,0.5029761904761905
97,0.5297619047619048,0.5416666666666666,0.8035714285714285
98,0.5505952380952381,0.6875,0.7559523809523809
99,0.550595238095238,0.5863095238095238,0.6428571428571428
101,0.3988095238095239,0.44047619047619047,0.44047619047619047
102,0.5952380952380952,0.4761904761904761,0.5238095238095238
103,0.5148809523809524,0.625,0.6934523809523809
104,0.5148809523809524,0.5238095238095238,0.7797619047619048
105,0.6041666666666666,0.48214285714285715,0.6458333333333334
106,0.30357142857142855,0.630952380952381,0.6428571428571429
107,0.4226190476190476,0.44642857142857145,0.6577380952380952
108,0.6309523809523809,0.7142857142857144,0.5654761904761906
109,0.44345238095238093,0.5148809523809523,0.5863095238095238
