condition,median_BA,q25,q75,above_0_5_fraction,at_least_0_6_fraction,at_least_0_7_fraction,median_fists_recall,median_feet_recall
A,0.5714285714285715,0.5186011904761905,0.6336557539682539,0.7558139534883721,0.313953488372093,0.11627906976744186,0.5896825396825397,0.6001984126984127
B,0.5876984126984126,0.5350198412698413,0.6613839285714287,0.8255813953488372,0.4418604651162791,0.18604651162790697,0.5997023809523809,0.5706349206349206
C,0.5400297619047618,0.49434523809523806,0.5892857142857142,0.686046511627907,0.23255813953488372,0.08139534883720931,0.5476190476190476,0.5826388888888889
