comparison,median_gain,q25,q75,improved,worsened,tied,p_unadjusted,p_holm_four
18-14,0.01785714285714285,-0.011904761904761862,0.05133928571428567,54,28,4,6.744962450467808e-05,0.00026979849801871234
22-18,0.005208333333333315,-0.01450892857142852,0.03980654761904753,45,35,6,0.028890616624474806,0.08667184987342441
26-22,5.551115123125783e-17,-0.013020833333333398,0.023809523809523836,43,35,8,0.13902290685769036,0.27804581371538073
28-26,0.0,-0.022321428571428575,0.020461309523809562,39,41,6,0.8347091432227334,0.8347091432227334
28-14,0.028273809523809562,-0.01041666666666663,0.08184523809523819,59,25,2,3.2211964889000366e-06,total_descriptive
