subject,csp_balanced_accuracy,c4_fixed_fists_erd_median_percent,c3_fixed_fists_erd_median_percent,historical_central_peak_available,historical_central_peak_frequency_hz,historical_central_peak_well_defined,imf_study_subject,imf_method_available,imf_peak_frequency_median_hz,imf_three_fold_peak_span_hz,analysis_role
72,0.9761904761904763,-88.7058573419862,-76.55426383210582,True,11.0,True,False,False,,,post_evaluation_exploratory_only
73,0.8333333333333334,-18.268350646610646,-21.9079277742252,False,,False,True,True,12.5,1.25,post_evaluation_exploratory_only
74,0.5,-22.49011746913417,36.974648525171105,False,,False,False,False,,,post_evaluation_exploratory_only
75,0.6904761904761904,-67.19920843942408,-64.81251563108634,True,8.0,True,True,True,8.25,3.25,post_evaluation_exploratory_only
76,0.5,-15.57440756455721,-12.364821179556719,False,,False,False,False,,,post_evaluation_exploratory_only
77,0.4196428571428572,23.993842048645675,-3.960872756817003,True,9.0,True,True,True,9.0,0.75,post_evaluation_exploratory_only
78,0.49404761904761907,-29.68622124309738,7.909030403880057,False,,False,False,False,,,post_evaluation_exploratory_only
79,0.7142857142857144,-3.8436817901296045,-8.575731266262812,False,,False,True,True,8.5,0.0,post_evaluation_exploratory_only
80,0.5833333333333334,12.742241979957853,-33.3902192441629,True,12.0,True,False,False,,,post_evaluation_exploratory_only
81,0.6220238095238095,-17.804359096376487,-16.14348543222785,False,,False,True,True,11.0,0.5,post_evaluation_exploratory_only
82,0.6190476190476191,-25.449723788820478,-21.8224608262857,True,10.0,True,False,False,,,post_evaluation_exploratory_only
83,0.6517857142857143,-26.386064597546707,-30.033367889043284,True,10.0,True,True,True,10.0,0.0,post_evaluation_exploratory_only
84,0.5922619047619048,-23.971077807877013,-16.450250559088687,True,10.0,True,False,False,,,post_evaluation_exploratory_only
85,0.9375,-70.04043330124583,-79.40056615796107,True,12.0,True,True,True,12.0,0.25,post_evaluation_exploratory_only
86,0.7946428571428571,-19.91142957793434,-33.98359585228129,True,8.0,True,False,False,,,post_evaluation_exploratory_only
87,0.6696428571428572,-6.233284365069874,0.3991410906494975,True,9.0,True,True,True,8.75,1.75,post_evaluation_exploratory_only
89,0.49404761904761907,-14.110864635815053,4.440633402319037,True,8.0,True,True,True,8.5,3.5,post_evaluation_exploratory_only
90,0.5803571428571429,-23.167386046282594,-29.810353646295987,True,11.0,True,False,False,,,post_evaluation_exploratory_only
91,0.75,38.080937061065576,8.120582372735422,True,11.0,True,True,True,10.0,1.25,post_evaluation_exploratory_only
93,0.8898809523809524,-59.02763848273846,-47.252473335679994,True,11.0,True,True,True,11.25,0.25,post_evaluation_exploratory_only
94,0.7053571428571429,-31.914719062182655,-3.8100529542941204,True,12.0,True,False,False,,,post_evaluation_exploratory_only
95,0.7529761904761904,-32.402305390190826,-13.829354100386942,True,12.0,True,True,True,12.5,0.25,post_evaluation_exploratory_only
96,0.5029761904761905,-2.2799671088294153,18.37219327782135,False,,False,False,False,,,post_evaluation_exploratory_only
97,0.8035714285714285,6.7579467873147525,-2.5664456053975813,False,,False,True,True,11.0,2.0,post_evaluation_exploratory_only
98,0.7559523809523809,-30.09820493209361,-26.794139858946195,True,10.0,True,False,False,,,post_evaluation_exploratory_only
99,0.6428571428571428,-27.8219300863696,-17.55350291862319,True,9.0,True,True,True,9.25,0.25,post_evaluation_exploratory_only
101,0.44047619047619047,-17.200615556532746,-4.42447218791279,True,8.0,True,True,True,11.0,4.75,post_evaluation_exploratory_only
102,0.5238095238095238,6.96580854368642,-15.635601419041564,False,,False,False,False,,,post_evaluation_exploratory_only
103,0.6934523809523809,11.978181272218091,-19.834084072934072,True,8.0,True,True,True,8.25,0.75,post_evaluation_exploratory_only
104,0.7797619047619048,-41.38785803639302,-25.920323542167097,False,,False,False,False,,,post_evaluation_exploratory_only
105,0.6458333333333334,-51.483387197064495,-36.96149683264377,True,8.0,True,True,True,10.0,1.5,post_evaluation_exploratory_only
106,0.6428571428571429,-38.76990947754308,-42.972203078089116,True,9.0,True,False,False,,,post_evaluation_exploratory_only
107,0.6577380952380952,-11.51288609861895,-17.538730658235387,True,10.0,True,True,True,10.25,0.5,post_evaluation_exploratory_only
108,0.5654761904761906,-15.594121679069747,-20.56338832595921,True,11.0,True,False,False,,,post_evaluation_exploratory_only
109,0.5863095238095238,1.5269699351735755,-7.208492446119187,True,8.0,True,True,True,12.75,4.5,post_evaluation_exploratory_only
