accuracy,balanced_accuracy,feet_recall,fists_recall,model,subject,target_adaptation_used,test_run,training_subjects,trial_count,true_feet_predicted_feet,true_feet_predicted_fists,true_fists_predicted_feet,true_fists_predicted_fists
0.4666666666666667,0.5,1.0,0.0,csp_4_empirical,25,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,7,0,8,0
0.4,0.4107142857142857,0.25,0.5714285714285714,spectral_baseline_6,26,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,2,6,3,4
0.7333333333333333,0.7410714285714286,0.625,0.8571428571428571,spectral_baseline_6,26,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,5,3,1,6
0.5333333333333333,0.5535714285714286,0.25,0.8571428571428571,spectral_baseline_6,26,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,2,6,1,6
0.5333333333333333,0.5,1.0,0.0,csp_4_empirical,26,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,7,0
0.6,0.6071428571428572,0.5,0.7142857142857143,csp_4_empirical,26,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,4,4,2,5
0.4666666666666667,0.5,0.0,1.0,csp_4_empirical,26,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,0,8,0,7
0.6666666666666666,0.6428571428571428,1.0,0.2857142857142857,spectral_baseline_6,27,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,5,2
0.5333333333333333,0.5625,1.0,0.125,spectral_baseline_6,27,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,7,0,7,1
0.6,0.5714285714285714,1.0,0.14285714285714285,spectral_baseline_6,27,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,6,1
0.6666666666666666,0.6517857142857143,0.875,0.42857142857142855,csp_4_empirical,27,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,7,1,4,3
0.5333333333333333,0.5625,1.0,0.125,csp_4_empirical,27,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,7,0,7,1
0.6666666666666666,0.6428571428571428,1.0,0.2857142857142857,csp_4_empirical,27,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,5,2
0.4,0.39285714285714285,0.2857142857142857,0.5,spectral_baseline_6,28,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,2,5,4,4
0.6,0.5982142857142857,0.625,0.5714285714285714,spectral_baseline_6,28,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,5,3,3,4
0.6,0.5982142857142857,0.5714285714285714,0.625,spectral_baseline_6,28,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,4,3,3,5
0.4666666666666667,0.49107142857142855,0.8571428571428571,0.125,csp_4_empirical,28,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,6,1,7,1
0.6,0.5714285714285714,1.0,0.14285714285714285,csp_4_empirical,28,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,6,1
0.5333333333333333,0.5446428571428572,0.7142857142857143,0.375,csp_4_empirical,28,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,5,2,5,3
0.6666666666666666,0.6875,1.0,0.375,spectral_baseline_6,29,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,7,0,5,3
0.5333333333333333,0.5,1.0,0.0,spectral_baseline_6,29,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,7,0
0.6666666666666666,0.6428571428571428,1.0,0.2857142857142857,spectral_baseline_6,29,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,5,2
1.0,1.0,1.0,1.0,csp_4_empirical,29,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,7,0,0,8
1.0,1.0,1.0,1.0,csp_4_empirical,29,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,0,7
1.0,1.0,1.0,1.0,csp_4_empirical,29,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,0,7
0.5333333333333333,0.5446428571428572,0.7142857142857143,0.375,spectral_baseline_6,30,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,5,2,5,3
0.6666666666666666,0.6785714285714286,0.8571428571428571,0.5,spectral_baseline_6,30,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,6,1,4,4
0.5333333333333333,0.5535714285714286,0.8571428571428571,0.25,spectral_baseline_6,30,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,6,1,6,2
0.7333333333333333,0.7142857142857143,0.42857142857142855,1.0,csp_4_empirical,30,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,3,4,0,8
0.6,0.5714285714285714,0.14285714285714285,1.0,csp_4_empirical,30,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,1,6,0,8
0.5333333333333333,0.5,0.0,1.0,csp_4_empirical,30,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,0,7,0,8
0.5333333333333333,0.5357142857142857,0.5714285714285714,0.5,spectral_baseline_6,31,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,4,3,4,4
0.4,0.4107142857142857,0.25,0.5714285714285714,spectral_baseline_6,31,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,2,6,3,4
0.5333333333333333,0.5178571428571428,0.2857142857142857,0.75,spectral_baseline_6,31,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,2,5,2,6
0.6,0.5803571428571428,0.2857142857142857,0.875,csp_4_empirical,31,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,2,5,1,7
0.4666666666666667,0.4732142857142857,0.375,0.5714285714285714,csp_4_empirical,31,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,3,5,3,4
0.6666666666666666,0.6428571428571428,0.2857142857142857,1.0,csp_4_empirical,31,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,2,5,0,8
0.4,0.42857142857142855,0.0,0.8571428571428571,spectral_baseline_6,32,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,0,8,1,6
0.5333333333333333,0.5625,0.125,1.0,spectral_baseline_6,32,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,1,7,0,7
0.4666666666666667,0.4375,0.0,0.875,spectral_baseline_6,32,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,0,7,1,7
0.5333333333333333,0.5,1.0,0.0,csp_4_empirical,32,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,7,0
0.7333333333333333,0.7142857142857143,1.0,0.42857142857142855,csp_4_empirical,32,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,4,3
0.4666666666666667,0.45535714285714285,0.2857142857142857,0.625,csp_4_empirical,32,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,2,5,3,5
0.6666666666666666,0.6428571428571428,1.0,0.2857142857142857,spectral_baseline_6,33,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,8,0,5,2
0.6666666666666666,0.6875,1.0,0.375,spectral_baseline_6,33,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,7,0,5,3
0.6,0.5892857142857143,0.75,0.42857142857142855,spectral_baseline_6,33,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,6,2,4,3
0.6666666666666666,0.6607142857142857,0.75,0.5714285714285714,csp_4_empirical,33,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,6,2,3,4
0.6666666666666666,0.6607142857142857,0.5714285714285714,0.75,csp_4_empirical,33,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,4,3,2,6
0.6,0.5892857142857143,0.75,0.42857142857142855,csp_4_empirical,33,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,6,2,4,3
0.6428571428571429,0.6428571428571428,1.0,0.2857142857142857,spectral_baseline_6,34,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,14,7,0,5,2
0.42857142857142855,0.42857142857142855,0.8571428571428571,0.0,spectral_baseline_6,34,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,14,6,1,7,0
0.7857142857142857,0.7857142857142857,1.0,0.5714285714285714,spectral_baseline_6,34,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,14,7,0,3,4
1.0,1.0,1.0,1.0,csp_4_empirical,34,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,14,7,0,0,7
0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,csp_4_empirical,34,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,14,5,2,2,5
0.9285714285714286,0.9285714285714286,0.8571428571428571,1.0,csp_4_empirical,34,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,14,6,1,0,7
0.6666666666666666,0.6785714285714286,0.8571428571428571,0.5,spectral_baseline_6,35,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,6,1,4,4
0.5333333333333333,0.5535714285714286,0.8571428571428571,0.25,spectral_baseline_6,35,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,6,1,6,2
0.5333333333333333,0.5625,1.0,0.125,spectral_baseline_6,35,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,7,0,7,1
0.8666666666666667,0.8571428571428572,0.7142857142857143,1.0,csp_4_empirical,35,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,5,2,0,8
0.8,0.7857142857142857,0.5714285714285714,1.0,csp_4_empirical,35,False,10,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,4,3,0,8
0.8,0.7857142857142857,0.5714285714285714,1.0,csp_4_empirical,35,False,14,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,4,3,0,8
0.5333333333333333,0.5446428571428572,0.375,0.7142857142857143,spectral_baseline_6,36,False,6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,15,3,5,2,5
