comparison,median_gain,q25,q75,improved,worsened,tied,p_unadjusted,p_holm_two
B-A,0.00520833333333337,-0.03497023809523811,0.05543154761904763,48,35,3,0.1431344421773342,0.1431344421773342
C-B,0.03571428571428581,-0.01041666666666663,0.09151785714285707,57,27,2,1.2764608480662516e-06,2.552921696132503e-06
C-A,0.04761904761904767,0.0078125,0.10602678571428559,66,19,1,4.162017285554827e-08,exploratory_total
