subject,method,calibration_size,qc_sensitivity,primary_mean_test_run_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,trial_prediction_appearances,group_observational_unit
1,threshold,0,False,0.5208333333333334,0.4888888888888889,1.0,0.041666666666666664,90,participant
1,threshold,0,True,0.5277777777777778,0.5128205128205128,1.0,0.05,78,participant
1,threshold,4,False,0.6279761904761906,0.6222222222222222,0.7142857142857143,0.5416666666666666,90,participant
1,threshold,4,True,0.6428571428571428,0.6282051282051282,0.7105263157894737,0.55,78,participant
1,threshold,8,False,0.7008928571428572,0.7,0.7142857142857143,0.6875,90,participant
1,threshold,8,True,0.7321428571428571,0.717948717948718,0.7368421052631579,0.7,78,participant
1,threshold,12,False,0.6398809523809524,0.6333333333333333,0.7380952380952381,0.5416666666666666,90,participant
1,threshold,12,True,0.6567460317460316,0.6410256410256411,0.7368421052631579,0.55,78,participant
1,threshold,14,False,0.6949404761904763,0.6888888888888889,0.7857142857142857,0.6041666666666666,90,participant
1,threshold,14,True,0.7142857142857143,0.7051282051282052,0.7894736842105263,0.625,78,participant
1,target_lda,0,False,0.5208333333333334,0.4888888888888889,1.0,0.041666666666666664,90,participant
1,target_lda,0,True,0.5277777777777778,0.5128205128205128,1.0,0.05,78,participant
1,target_lda,4,False,0.5342261904761905,0.5222222222222223,0.7142857142857143,0.3541666666666667,90,participant
1,target_lda,4,True,0.5265873015873016,0.5256410256410257,0.7105263157894737,0.35,78,participant
1,target_lda,8,False,0.6726190476190476,0.6777777777777778,0.5952380952380952,0.75,90,participant
1,target_lda,8,True,0.690079365079365,0.6923076923076923,0.5789473684210527,0.8,78,participant
1,target_lda,12,False,0.7113095238095237,0.7111111111111111,0.7142857142857143,0.7083333333333334,90,participant
1,target_lda,12,True,0.7658730158730158,0.7564102564102564,0.7368421052631579,0.775,78,participant
1,target_lda,14,False,0.7127976190476192,0.7111111111111111,0.7380952380952381,0.6875,90,participant
1,target_lda,14,True,0.7658730158730158,0.7564102564102564,0.7631578947368421,0.75,78,participant
2,threshold,0,False,0.6636904761904762,0.6666666666666666,0.7083333333333334,0.6190476190476191,90,participant
2,threshold,0,True,0.6753968253968253,0.6571428571428571,0.7222222222222222,0.5882352941176471,70,participant
2,threshold,4,False,0.7098214285714287,0.7111111111111111,0.7291666666666666,0.6904761904761905,90,participant
2,threshold,4,True,0.7087301587301588,0.6857142857142857,0.7222222222222222,0.6470588235294118,70,participant
2,threshold,8,False,0.7395833333333335,0.7333333333333333,0.6458333333333334,0.8333333333333334,90,participant
2,threshold,8,True,0.7246031746031747,0.7142857142857143,0.6388888888888888,0.7941176470588235,70,participant
2,threshold,12,False,0.7098214285714287,0.7,0.5625,0.8571428571428571,90,participant
2,threshold,12,True,0.7057539682539683,0.7,0.5833333333333334,0.8235294117647058,70,participant
2,threshold,14,False,0.7098214285714287,0.7,0.5625,0.8571428571428571,90,participant
2,threshold,14,True,0.7057539682539683,0.7,0.5833333333333334,0.8235294117647058,70,participant
2,target_lda,0,False,0.6636904761904762,0.6666666666666666,0.7083333333333334,0.6190476190476191,90,participant
2,target_lda,0,True,0.6753968253968253,0.6571428571428571,0.7222222222222222,0.5882352941176471,70,participant
2,target_lda,4,False,0.7395833333333334,0.7333333333333333,0.6458333333333334,0.8333333333333334,90,participant
2,target_lda,4,True,0.7531746031746032,0.7428571428571429,0.6666666666666666,0.8235294117647058,70,participant
2,target_lda,8,False,0.6235119047619048,0.6222222222222222,0.6041666666666666,0.6428571428571429,90,participant
2,target_lda,8,True,0.5876984126984127,0.5857142857142857,0.5555555555555556,0.6176470588235294,70,participant
2,target_lda,12,False,0.6354166666666667,0.6333333333333333,0.6041666666666666,0.6666666666666666,90,participant
2,target_lda,12,True,0.5876984126984127,0.5857142857142857,0.5555555555555556,0.6176470588235294,70,participant
2,target_lda,14,False,0.6339285714285714,0.6333333333333333,0.625,0.6428571428571429,90,participant
2,target_lda,14,True,0.5996031746031746,0.6,0.5833333333333334,0.6176470588235294,70,participant
3,threshold,0,False,0.5178571428571429,0.4888888888888889,0.9523809523809523,0.08333333333333333,90,participant
3,threshold,0,True,0.5178571428571429,0.4888888888888889,0.9523809523809523,0.08333333333333333,90,participant
3,threshold,4,False,0.47470238095238093,0.4666666666666667,0.5952380952380952,0.3541666666666667,90,participant
3,threshold,4,True,0.47470238095238093,0.4666666666666667,0.5952380952380952,0.3541666666666667,90,participant
3,threshold,8,False,0.5059523809523809,0.4777777777777778,0.9285714285714286,0.08333333333333333,90,participant
3,threshold,8,True,0.5059523809523809,0.4777777777777778,0.9285714285714286,0.08333333333333333,90,participant
3,threshold,12,False,0.5059523809523809,0.4777777777777778,0.9285714285714286,0.08333333333333333,90,participant
3,threshold,12,True,0.5059523809523809,0.4777777777777778,0.9285714285714286,0.08333333333333333,90,participant
3,threshold,14,False,0.5059523809523809,0.4777777777777778,0.9285714285714286,0.08333333333333333,90,participant
3,threshold,14,True,0.5059523809523809,0.4777777777777778,0.9285714285714286,0.08333333333333333,90,participant
3,target_lda,0,False,0.5178571428571429,0.4888888888888889,0.9523809523809523,0.08333333333333333,90,participant
3,target_lda,0,True,0.5178571428571429,0.4888888888888889,0.9523809523809523,0.08333333333333333,90,participant
3,target_lda,4,False,0.53125,0.5333333333333333,0.5,0.5625,90,participant
3,target_lda,4,True,0.53125,0.5333333333333333,0.5,0.5625,90,participant
3,target_lda,8,False,0.431547619047619,0.4222222222222222,0.5714285714285714,0.2916666666666667,90,participant
3,target_lda,8,True,0.431547619047619,0.4222222222222222,0.5714285714285714,0.2916666666666667,90,participant
3,target_lda,12,False,0.4851190476190476,0.4777777777777778,0.5952380952380952,0.375,90,participant
3,target_lda,12,True,0.4851190476190476,0.4777777777777778,0.5952380952380952,0.375,90,participant
3,target_lda,14,False,0.49702380952380953,0.4888888888888889,0.6190476190476191,0.375,90,participant
3,target_lda,14,True,0.49702380952380953,0.4888888888888889,0.6190476190476191,0.375,90,participant
4,threshold,0,False,0.4791666666666667,0.4888888888888889,0.0,0.9565217391304348,90,participant
4,threshold,0,True,0.4761904761904762,0.5454545454545454,0.0,0.9473684210526315,66,participant
4,threshold,4,False,0.46577380952380953,0.45555555555555555,0.36363636363636365,0.5434782608695652,90,participant
4,threshold,4,True,0.4222222222222222,0.4696969696969697,0.35714285714285715,0.5526315789473685,66,participant
4,threshold,8,False,0.4360119047619047,0.4444444444444444,0.25,0.6304347826086957,90,participant
4,threshold,8,True,0.42063492063492064,0.45454545454545453,0.2857142857142857,0.5789473684210527,66,participant
4,threshold,12,False,0.44047619047619047,0.43333333333333335,0.4772727272727273,0.391304347826087,90,participant
4,threshold,12,True,0.3924603174603174,0.42424242424242425,0.4642857142857143,0.39473684210526316,66,participant
4,threshold,14,False,0.45535714285714285,0.45555555555555555,0.38636363636363635,0.5217391304347826,90,participant
4,threshold,14,True,0.40992063492063485,0.4393939393939394,0.39285714285714285,0.47368421052631576,66,participant
4,target_lda,0,False,0.4791666666666667,0.4888888888888889,0.0,0.9565217391304348,90,participant
4,target_lda,0,True,0.4761904761904762,0.5454545454545454,0.0,0.9473684210526315,66,participant
4,target_lda,4,False,0.5639880952380952,0.5666666666666667,0.38636363636363635,0.7391304347826086,90,participant
4,target_lda,4,True,0.5837301587301588,0.5606060606060606,0.32142857142857145,0.7368421052631579,66,participant
4,target_lda,8,False,0.5461309523809524,0.5444444444444444,0.6363636363636364,0.45652173913043476,90,participant
4,target_lda,8,True,0.5686507936507936,0.5454545454545454,0.6785714285714286,0.4473684210526316,66,participant
4,target_lda,12,False,0.5639880952380952,0.5555555555555556,0.6818181818181818,0.43478260869565216,90,participant
4,target_lda,12,True,0.5706349206349207,0.5454545454545454,0.7142857142857143,0.42105263157894735,66,participant
4,target_lda,14,False,0.5401785714285713,0.5333333333333333,0.6818181818181818,0.391304347826087,90,participant
4,target_lda,14,True,0.5468253968253968,0.5151515151515151,0.7142857142857143,0.3684210526315789,66,participant
5,threshold,0,False,0.5029761904761905,0.5111111111111111,0.9565217391304348,0.045454545454545456,90,participant
5,threshold,0,True,0.5069444444444445,0.5142857142857142,0.9444444444444444,0.058823529411764705,70,participant
5,threshold,4,False,0.5148809523809523,0.5,0.34782608695652173,0.6590909090909091,90,participant
5,threshold,4,True,0.5178571428571428,0.4857142857142857,0.3611111111111111,0.6176470588235294,70,participant
5,threshold,8,False,0.5461309523809523,0.5444444444444444,0.8260869565217391,0.25,90,participant
5,threshold,8,True,0.5694444444444443,0.5571428571428572,0.8333333333333334,0.2647058823529412,70,participant
5,threshold,12,False,0.5401785714285714,0.5333333333333333,0.7391304347826086,0.3181818181818182,90,participant
5,threshold,12,True,0.5555555555555555,0.5285714285714286,0.75,0.29411764705882354,70,participant
5,threshold,14,False,0.5163690476190477,0.5111111111111111,0.6086956521739131,0.4090909090909091,90,participant
5,threshold,14,True,0.5148809523809524,0.5,0.5833333333333334,0.4117647058823529,70,participant
5,target_lda,0,False,0.5029761904761905,0.5111111111111111,0.9565217391304348,0.045454545454545456,90,participant
5,target_lda,0,True,0.5069444444444445,0.5142857142857142,0.9444444444444444,0.058823529411764705,70,participant
5,target_lda,4,False,0.4717261904761905,0.4666666666666667,0.43478260869565216,0.5,90,participant
5,target_lda,4,True,0.46378968253968256,0.45714285714285713,0.4444444444444444,0.47058823529411764,70,participant
5,target_lda,8,False,0.5252976190476191,0.5222222222222223,0.7391304347826086,0.29545454545454547,90,participant
5,target_lda,8,True,0.5307539682539683,0.5142857142857142,0.75,0.2647058823529412,70,participant
5,target_lda,12,False,0.5416666666666666,0.5333333333333333,0.717391304347826,0.3409090909090909,90,participant
5,target_lda,12,True,0.5466269841269841,0.5142857142857142,0.7222222222222222,0.29411764705882354,70,participant
5,target_lda,14,False,0.519345238095238,0.5111111111111111,0.6521739130434783,0.36363636363636365,90,participant
5,target_lda,14,True,0.5411706349206349,0.5,0.6388888888888888,0.35294117647058826,70,participant
6,threshold,0,False,0.5684523809523809,0.5777777777777777,0.22727272727272727,0.9130434782608695,90,participant
6,threshold,0,True,0.572420634920635,0.5909090909090909,0.23809523809523808,0.9130434782608695,88,participant
6,threshold,4,False,0.5089285714285714,0.5111111111111111,0.5227272727272727,0.5,90,participant
6,threshold,4,True,0.5148809523809523,0.5227272727272727,0.5476190476190477,0.5,88,participant
6,threshold,8,False,0.4880952380952381,0.4888888888888889,0.4772727272727273,0.5,90,participant
6,threshold,8,True,0.494047619047619,0.5,0.5,0.5,88,participant
6,threshold,12,False,0.4985119047619048,0.5111111111111111,0.4090909090909091,0.6086956521739131,90,participant
6,threshold,12,True,0.5024801587301587,0.5227272727272727,0.42857142857142855,0.6086956521739131,88,participant
6,threshold,14,False,0.48809523809523814,0.5,0.045454545454545456,0.9347826086956522,90,participant
6,threshold,14,True,0.4920634920634921,0.5113636363636364,0.047619047619047616,0.9347826086956522,88,participant
6,target_lda,0,False,0.5684523809523809,0.5777777777777777,0.22727272727272727,0.9130434782608695,90,participant
6,target_lda,0,True,0.572420634920635,0.5909090909090909,0.23809523809523808,0.9130434782608695,88,participant
6,target_lda,4,False,0.5833333333333334,0.5888888888888889,0.6363636363636364,0.5434782608695652,90,participant
6,target_lda,4,True,0.5833333333333334,0.5909090909090909,0.6428571428571429,0.5434782608695652,88,participant
6,target_lda,8,False,0.6116071428571429,0.6111111111111112,0.7954545454545454,0.43478260869565216,90,participant
6,target_lda,8,True,0.605654761904762,0.6022727272727273,0.7857142857142857,0.43478260869565216,88,participant
6,target_lda,12,False,0.5625,0.5666666666666667,0.5454545454545454,0.5869565217391305,90,participant
6,target_lda,12,True,0.560515873015873,0.5681818181818182,0.5476190476190477,0.5869565217391305,88,participant
6,target_lda,14,False,0.5491071428571429,0.5555555555555556,0.5681818181818182,0.5434782608695652,90,participant
6,target_lda,14,True,0.5471230158730158,0.5568181818181818,0.5714285714285714,0.5434782608695652,88,participant
7,threshold,0,False,0.8869047619047619,0.8888888888888888,0.8636363636363636,0.9130434782608695,90,participant
7,threshold,0,True,0.9206349206349206,0.918918918918919,0.8888888888888888,0.9473684210526315,74,participant
7,threshold,4,False,0.8675595238095238,0.8666666666666667,0.9090909090909091,0.8260869565217391,90,participant
7,threshold,4,True,0.888095238095238,0.8918918918918919,0.9166666666666666,0.868421052631579,74,participant
7,threshold,8,False,0.8437500000000001,0.8444444444444444,0.8636363636363636,0.8260869565217391,90,participant
7,threshold,8,True,0.8714285714285714,0.8783783783783784,0.8888888888888888,0.868421052631579,74,participant
7,threshold,12,False,0.8764880952380953,0.8777777777777778,0.8863636363636364,0.8695652173913043,90,participant
7,threshold,12,True,0.8992063492063491,0.9054054054054054,0.9166666666666666,0.8947368421052632,74,participant
7,threshold,14,False,0.8764880952380953,0.8777777777777778,0.8863636363636364,0.8695652173913043,90,participant
7,threshold,14,True,0.8992063492063491,0.9054054054054054,0.9166666666666666,0.8947368421052632,74,participant
7,target_lda,0,False,0.8869047619047619,0.8888888888888888,0.8636363636363636,0.9130434782608695,90,participant
7,target_lda,0,True,0.9206349206349206,0.918918918918919,0.8888888888888888,0.9473684210526315,74,participant
7,target_lda,4,False,0.4985119047619048,0.5,0.4318181818181818,0.5652173913043478,90,participant
7,target_lda,4,True,0.48928571428571427,0.4864864864864865,0.4444444444444444,0.5263157894736842,74,participant
7,target_lda,8,False,0.8660714285714285,0.8666666666666667,0.9090909090909091,0.8260869565217391,90,participant
7,target_lda,8,True,0.888095238095238,0.8918918918918919,0.9444444444444444,0.8421052631578947,74,participant
7,target_lda,12,False,0.8869047619047619,0.8888888888888888,0.8863636363636364,0.8913043478260869,90,participant
7,target_lda,12,True,0.9158730158730158,0.918918918918919,0.9444444444444444,0.8947368421052632,74,participant
7,target_lda,14,False,0.8958333333333334,0.9,0.9090909090909091,0.8913043478260869,90,participant
7,target_lda,14,True,0.9138888888888891,0.918918918918919,0.9722222222222222,0.868421052631579,74,participant
8,threshold,0,False,0.6428571428571428,0.6444444444444445,0.5217391304347826,0.7727272727272727,90,participant
8,threshold,0,True,0.5750000000000001,0.6,0.5,0.7272727272727273,50,participant
8,threshold,4,False,0.6994047619047619,0.7111111111111111,0.8478260869565217,0.5681818181818182,90,participant
8,threshold,4,True,0.7083333333333334,0.74,0.8571428571428571,0.5909090909090909,50,participant
8,threshold,8,False,0.6964285714285715,0.7,0.8478260869565217,0.5454545454545454,90,participant
8,threshold,8,True,0.6833333333333332,0.72,0.8928571428571429,0.5,50,participant
8,threshold,12,False,0.7366071428571428,0.7444444444444445,0.9565217391304348,0.5227272727272727,90,participant
8,threshold,12,True,0.7416666666666667,0.78,1.0,0.5,50,participant
8,threshold,14,False,0.6979166666666666,0.7,0.8260869565217391,0.5681818181818182,90,participant
8,threshold,14,True,0.6833333333333332,0.72,0.8571428571428571,0.5454545454545454,50,participant
8,target_lda,0,False,0.6428571428571428,0.6444444444444445,0.5217391304347826,0.7727272727272727,90,participant
