condition,median_BA,q25,q75
A,0.6019345238095238,0.5152529761904762,0.6949404761904763
B,0.5691964285714286,0.5178571428571429,0.6986607142857143
C,0.6577380952380953,0.5944940476190477,0.7589285714285715
