model,run,participant_count,median_balanced_accuracy,q25_balanced_accuracy,q75_balanced_accuracy,minimum_balanced_accuracy,maximum_balanced_accuracy,above_0_5_count,median_fists_recall,median_feet_recall
spectral_baseline_6,6,86,0.5401785714285714,0.4464285714285714,0.6316964285714285,0.2767857142857143,0.9285714285714286,53,0.5,0.5714285714285714
spectral_baseline_6,10,86,0.5401785714285714,0.46651785714285715,0.6116071428571429,0.20535714285714285,0.8571428571428572,54,0.5357142857142857,0.5714285714285714
spectral_baseline_6,14,86,0.5535714285714286,0.4732142857142857,0.625,0.2767857142857143,0.8035714285714286,57,0.5357142857142857,0.625
csp_4_empirical,6,86,0.5669642857142857,0.5,0.6852678571428572,0.33035714285714285,1.0,52,0.7142857142857143,0.7321428571428572
csp_4_empirical,10,86,0.5714285714285714,0.5,0.6607142857142857,0.26785714285714285,1.0,54,0.7142857142857143,0.5357142857142857
csp_4_empirical,14,86,0.5625,0.5,0.6696428571428572,0.35714285714285715,1.0,53,0.75,0.625
