comparison_name,subject,candidate_method,reference_method,reference_balanced_accuracy,candidate_balanced_accuracy,candidate_minus_reference,QC_candidate_minus_reference
B_minus_A,21,source_csp_target_lda_source_scaler,source_zero_shot,0.5595238095238095,0.5148809523809522,-0.04464285714285732,-0.029365079365079372
B_minus_A,22,source_csp_target_lda_source_scaler,source_zero_shot,0.49404761904761907,0.4761904761904762,-0.01785714285714285,0.05277777777777781
B_minus_A,23,source_csp_target_lda_source_scaler,source_zero_shot,0.6428571428571428,0.5833333333333334,-0.05952380952380942,-0.059523809523809534
B_minus_A,24,source_csp_target_lda_source_scaler,source_zero_shot,0.4136904761904761,0.4970238095238095,0.08333333333333337,0.08333333333333337
B_minus_A,25,source_csp_target_lda_source_scaler,source_zero_shot,0.5625,0.7827380952380952,0.22023809523809523,0.2197420634920635
B_minus_A,26,source_csp_target_lda_source_scaler,source_zero_shot,0.5357142857142857,0.5967261904761905,0.06101190476190477,0.0014880952380952328
B_minus_A,27,source_csp_target_lda_source_scaler,source_zero_shot,0.6190476190476191,0.5967261904761905,-0.022321428571428603,-0.035218253968253954
B_minus_A,28,source_csp_target_lda_source_scaler,source_zero_shot,0.5357142857142857,0.5223214285714286,-0.013392857142857095,0.002083333333333326
B_minus_A,29,source_csp_target_lda_source_scaler,source_zero_shot,1.0,0.9330357142857143,-0.0669642857142857,-0.07936507936507942
B_minus_A,30,source_csp_target_lda_source_scaler,source_zero_shot,0.5952380952380952,0.6101190476190476,0.014880952380952328,0.01984126984126977
B_minus_A,31,source_csp_target_lda_source_scaler,source_zero_shot,0.5654761904761904,0.6086309523809524,0.043154761904762085,0.045634920634920695
B_minus_A,32,source_csp_target_lda_source_scaler,source_zero_shot,0.5565476190476191,0.5014880952380952,-0.055059523809523836,-0.09920634920634913
B_minus_A,33,source_csp_target_lda_source_scaler,source_zero_shot,0.6369047619047619,0.5491071428571429,-0.08779761904761896,-0.11805555555555547
B_minus_A,34,source_csp_target_lda_source_scaler,source_zero_shot,0.880952380952381,0.8095238095238096,-0.0714285714285714,-0.06428571428571428
B_minus_A,35,source_csp_target_lda_source_scaler,source_zero_shot,0.8095238095238094,0.9553571428571429,0.14583333333333348,0.15625000000000022
B_minus_A,36,source_csp_target_lda_source_scaler,source_zero_shot,0.6428571428571428,0.6354166666666667,-0.007440476190476053,-0.012896825396825462
B_minus_A,37,source_csp_target_lda_source_scaler,source_zero_shot,0.5476190476190476,0.48809523809523797,-0.05952380952380959,-0.014682539682539741
B_minus_A,38,source_csp_target_lda_source_scaler,source_zero_shot,0.5238095238095238,0.4568452380952381,-0.06696428571428575,-0.04146825396825399
B_minus_A,39,source_csp_target_lda_source_scaler,source_zero_shot,0.4226190476190476,0.5952380952380952,0.17261904761904762,0.19841269841269843
B_minus_A,40,source_csp_target_lda_source_scaler,source_zero_shot,0.5208333333333334,0.4776785714285714,-0.043154761904761973,-0.07301587301587303
B_minus_A,41,source_csp_target_lda_source_scaler,source_zero_shot,0.6428571428571428,0.5119047619047619,-0.13095238095238093,-0.13095238095238093
B_minus_A,42,source_csp_target_lda_source_scaler,source_zero_shot,0.9553571428571429,0.9434523809523809,-0.011904761904761973,-0.011904761904761862
B_minus_A,43,source_csp_target_lda_source_scaler,source_zero_shot,0.6369047619047619,0.71875,0.08184523809523814,0.05555555555555569
B_minus_A,44,source_csp_target_lda_source_scaler,source_zero_shot,0.7113095238095237,0.6919642857142857,-0.019345238095238027,-0.019345238095238138
B_minus_A,45,source_csp_target_lda_source_scaler,source_zero_shot,0.5625,0.5148809523809524,-0.04761904761904756,-0.003968253968253954
