subject,riemannian_balanced_accuracy,historical_model,historical_balanced_accuracy,riemannian_minus_historical
21,0.5208333333333334,spectral_baseline_6,0.5565476190476191,-0.0357142857142857
22,0.5208333333333334,spectral_baseline_6,0.5773809523809524,-0.05654761904761907
23,0.6339285714285714,spectral_baseline_6,0.5982142857142857,0.0357142857142857
24,0.5,spectral_baseline_6,0.5625,-0.0625
25,0.5476190476190477,spectral_baseline_6,0.6517857142857143,-0.10416666666666663
26,0.5863095238095238,spectral_baseline_6,0.568452380952381,0.017857142857142794
27,0.5773809523809524,spectral_baseline_6,0.5922619047619048,-0.014880952380952328
28,0.5297619047619048,spectral_baseline_6,0.5297619047619048,0.0
29,0.8035714285714285,spectral_baseline_6,0.6101190476190476,0.19345238095238093
30,0.5178571428571429,spectral_baseline_6,0.5922619047619048,-0.07440476190476186
31,0.5744047619047619,spectral_baseline_6,0.4880952380952381,0.08630952380952378
32,0.5505952380952381,spectral_baseline_6,0.4761904761904762,0.07440476190476192
33,0.6845238095238096,spectral_baseline_6,0.6398809523809524,0.044642857142857206
34,0.7619047619047619,spectral_baseline_6,0.6190476190476191,0.1428571428571428
35,0.6875,spectral_baseline_6,0.5982142857142857,0.0892857142857143
36,0.6011904761904762,spectral_baseline_6,0.6488095238095238,-0.04761904761904767
37,0.38095238095238093,spectral_baseline_6,0.5,-0.11904761904761907
38,0.5744047619047619,spectral_baseline_6,0.4702380952380952,0.10416666666666669
39,0.4791666666666667,spectral_baseline_6,0.4196428571428572,0.05952380952380948
40,0.37797619047619047,spectral_baseline_6,0.4523809523809524,-0.07440476190476192
41,0.6904761904761904,spectral_baseline_6,0.4523809523809524,0.23809523809523797
42,0.8630952380952381,spectral_baseline_6,0.6190476190476191,0.24404761904761907
43,0.6875,spectral_baseline_6,0.44047619047619047,0.24702380952380953
44,0.7172619047619048,spectral_baseline_6,0.47321428571428564,0.24404761904761912
45,0.6964285714285715,spectral_baseline_6,0.6636904761904762,0.032738095238095344
46,0.5773809523809524,spectral_baseline_6,0.5208333333333334,0.05654761904761907
47,0.3928571428571428,spectral_baseline_6,0.4136904761904761,-0.020833333333333315
48,0.7678571428571428,spectral_baseline_6,0.4672619047619048,0.30059523809523797
49,0.5922619047619048,spectral_baseline_6,0.5773809523809524,0.014880952380952328
50,0.5,spectral_baseline_6,0.5476190476190476,-0.04761904761904756
51,0.5238095238095238,spectral_baseline_6,0.4761904761904762,0.047619047619047616
52,0.6726190476190476,spectral_baseline_6,0.7767857142857143,-0.10416666666666674
53,0.49404761904761907,spectral_baseline_6,0.6369047619047619,-0.1428571428571428
54,0.6309523809523809,spectral_baseline_6,0.5208333333333334,0.11011904761904756
55,0.5386904761904762,spectral_baseline_6,0.49107142857142855,0.047619047619047616
56,0.5744047619047619,spectral_baseline_6,0.5892857142857143,-0.014880952380952439
57,0.5773809523809524,spectral_baseline_6,0.4672619047619047,0.11011904761904773
58,0.6220238095238095,spectral_baseline_6,0.4404761904761905,0.181547619047619
59,0.5208333333333334,spectral_baseline_6,0.4553571428571428,0.06547619047619058
60,0.5625,spectral_baseline_6,0.6845238095238096,-0.12202380952380965
61,0.6726190476190478,spectral_baseline_6,0.6458333333333334,0.026785714285714413
62,0.6309523809523809,spectral_baseline_6,0.7827380952380952,-0.1517857142857143
63,0.5625,spectral_baseline_6,0.5863095238095238,-0.023809523809523836
64,0.5238095238095238,spectral_baseline_6,0.4761904761904762,0.047619047619047616
65,0.46428571428571425,spectral_baseline_6,0.44345238095238093,0.020833333333333315
66,0.3898809523809524,spectral_baseline_6,0.6011904761904763,-0.2113095238095239
67,0.46428571428571425,spectral_baseline_6,0.5089285714285715,-0.04464285714285726
68,0.7172619047619048,spectral_baseline_6,0.4791666666666667,0.23809523809523808
69,0.574404761904762,spectral_baseline_6,0.5982142857142857,-0.023809523809523725
70,0.5773809523809524,spectral_baseline_6,0.5416666666666666,0.03571428571428581
71,0.5208333333333334,spectral_baseline_6,0.6845238095238096,-0.16369047619047628
72,0.7857142857142857,spectral_baseline_6,0.7857142857142857,0.0
73,0.5714285714285715,spectral_baseline_6,0.42857142857142855,0.14285714285714296
74,0.5,spectral_baseline_6,0.5714285714285714,-0.0714285714285714
75,0.5863095238095238,spectral_baseline_6,0.6190476190476191,-0.03273809523809523
76,0.5714285714285715,spectral_baseline_6,0.5238095238095238,0.04761904761904767
77,0.46428571428571425,spectral_baseline_6,0.4761904761904762,-0.011904761904761973
78,0.5565476190476191,spectral_baseline_6,0.44940476190476186,0.1071428571428572
79,0.6071428571428571,spectral_baseline_6,0.5595238095238096,0.04761904761904745
80,0.49702380952380953,spectral_baseline_6,0.4077380952380952,0.08928571428571436
81,0.43452380952380953,spectral_baseline_6,0.3928571428571428,0.04166666666666674
82,0.6041666666666666,spectral_baseline_6,0.5535714285714286,0.050595238095238027
83,0.6875,spectral_baseline_6,0.5178571428571428,0.1696428571428572
84,0.5744047619047619,spectral_baseline_6,0.6220238095238095,-0.04761904761904767
85,0.5863095238095238,spectral_baseline_6,0.6279761904761905,-0.04166666666666663
86,0.7261904761904763,spectral_baseline_6,0.6101190476190477,0.1160714285714286
87,0.5297619047619048,spectral_baseline_6,0.5833333333333334,-0.0535714285714286
89,0.5803571428571428,spectral_baseline_6,0.44345238095238093,0.13690476190476186
90,0.4761904761904762,spectral_baseline_6,0.43154761904761907,0.04464285714285715
91,0.6160714285714285,spectral_baseline_6,0.4672619047619048,0.14880952380952367
93,0.7797619047619048,spectral_baseline_6,0.7470238095238096,0.03273809523809512
94,0.5773809523809524,spectral_baseline_6,0.6845238095238096,-0.1071428571428572
95,0.7559523809523809,spectral_baseline_6,0.5029761904761905,0.25297619047619047
96,0.48214285714285715,spectral_baseline_6,0.4702380952380952,0.011904761904761973
97,0.4226190476190476,spectral_baseline_6,0.5238095238095238,-0.10119047619047622
98,0.5267857142857143,spectral_baseline_6,0.5238095238095238,0.0029761904761904656
99,0.48809523809523814,spectral_baseline_6,0.5297619047619048,-0.04166666666666663
101,0.6815476190476191,spectral_baseline_6,0.47321428571428575,0.20833333333333331
102,0.5714285714285714,spectral_baseline_6,0.5238095238095238,0.04761904761904756
103,0.6875,spectral_baseline_6,0.5148809523809524,0.17261904761904756
104,0.37202380952380953,spectral_baseline_6,0.5505952380952381,-0.1785714285714286
105,0.49107142857142855,spectral_baseline_6,0.5476190476190476,-0.05654761904761901
106,0.5446428571428571,spectral_baseline_6,0.5833333333333334,-0.038690476190476275
107,0.550595238095238,spectral_baseline_6,0.4613095238095239,0.08928571428571414
108,0.5595238095238094,spectral_baseline_6,0.5714285714285715,-0.011904761904762085
109,0.4702380952380952,spectral_baseline_6,0.5,-0.029761904761904823
