model,qc_sensitivity,participant_count,median_balanced_accuracy,bootstrap_median_ci_lower,bootstrap_median_ci_upper,q25_balanced_accuracy,q75_balanced_accuracy,minimum_balanced_accuracy,maximum_balanced_accuracy,above_0_5_count,above_0_5_fraction,at_or_above_0_6_count,at_or_above_0_6_fraction,at_or_above_0_7_count,at_or_above_0_7_fraction,median_fists_recall,median_feet_recall,median_participant_run_range,group_observational_unit
shrinkage_lda,False,86,0.5729166666666667,0.5491071428571428,0.5773809523809524,0.5186011904761905,0.6309523809523809,0.37202380952380953,0.8630952380952381,65,0.7558139534883721,28,0.32558139534883723,10,0.11627906976744186,0.5909090909090909,0.599802371541502,0.17410714285714288,participant
shrinkage_lda,True,86,0.5694444444444444,0.5381944444444444,0.5922619047619048,0.5,0.6498511904761906,0.335515873015873,0.8492063492063493,63,0.7325581395348837,33,0.38372093023255816,12,0.13953488372093023,0.5833333333333334,0.6099033816425121,0.19285714285714295,participant
