subject,size,balanced_accuracy,fists_recall,feet_recall
21,14,0.4895833333333333,0.4791666666666667,0.5
21,18,0.5416666666666666,0.25,0.8333333333333334
21,22,0.5223214285714286,0.3541666666666667,0.6904761904761904
21,26,0.6175595238095238,0.5208333333333334,0.7142857142857143
21,28,0.5714285714285715,0.3333333333333333,0.8095238095238096
22,14,0.6383928571428571,0.8809523809523809,0.3958333333333333
22,18,0.7217261904761904,0.8809523809523809,0.5625
22,22,0.7351190476190478,0.7619047619047619,0.7083333333333334
22,26,0.7261904761904763,0.7857142857142857,0.6666666666666666
22,28,0.7380952380952381,0.8095238095238094,0.6666666666666666
23,14,0.49404761904761907,0.14583333333333334,0.8422619047619048
23,18,0.5044642857142857,0.21428571428571427,0.7946428571428571
23,22,0.5476190476190476,0.25595238095238093,0.8392857142857143
23,26,0.5372023809523809,0.2351190476190476,0.8392857142857143
23,28,0.5595238095238095,0.25595238095238093,0.8630952380952381
24,14,0.43154761904761907,0.2380952380952381,0.625
24,18,0.43452380952380953,0.11904761904761903,0.75
24,22,0.4285714285714286,0.35714285714285715,0.5
24,26,0.4047619047619048,0.35714285714285715,0.4523809523809524
24,28,0.41071428571428575,0.5297619047619048,0.2916666666666667
25,14,0.8482142857142857,0.7916666666666666,0.9047619047619048
25,18,0.8482142857142857,0.7916666666666666,0.9047619047619048
25,22,0.8482142857142857,0.7916666666666666,0.9047619047619048
25,26,0.8377976190476191,0.7708333333333334,0.9047619047619048
25,28,0.8303571428571429,0.7083333333333334,0.9523809523809524
26,14,0.5,0.6666666666666666,0.3333333333333333
26,18,0.5,0.6666666666666666,0.3333333333333333
26,22,0.5,0.6666666666666666,0.3333333333333333
26,26,0.5,0.6666666666666666,0.3333333333333333
26,28,0.5,0.6666666666666666,0.3333333333333333
27,14,0.6190476190476191,0.6904761904761904,0.5476190476190476
27,18,0.65625,0.6934523809523809,0.6190476190476191
27,22,0.6309523809523809,0.6011904761904762,0.6607142857142857
27,26,0.6086309523809524,0.5148809523809524,0.7023809523809524
27,28,0.6101190476190476,0.49404761904761907,0.7261904761904763
28,14,0.5625,0.4613095238095238,0.6636904761904762
28,18,0.5059523809523809,0.3452380952380952,0.6666666666666666
28,22,0.47767857142857145,0.4166666666666667,0.5386904761904762
28,26,0.53125,0.5297619047619048,0.5327380952380952
28,28,0.5654761904761905,0.44047619047619047,0.6904761904761906
29,14,0.9776785714285715,0.9761904761904763,0.9791666666666666
29,18,0.9657738095238096,0.9523809523809524,0.9791666666666666
29,22,0.9553571428571429,0.9523809523809524,0.9583333333333334
29,26,0.9553571428571429,0.9523809523809524,0.9583333333333334
29,28,0.9553571428571429,0.9523809523809524,0.9583333333333334
30,14,0.6502976190476191,0.7291666666666666,0.5714285714285714
30,18,0.6324404761904762,0.6458333333333334,0.619047619047619
30,22,0.6041666666666666,0.7083333333333334,0.5
30,26,0.6145833333333334,0.7291666666666666,0.5
30,28,0.5952380952380952,0.6666666666666666,0.5238095238095237
