model,qc_sensitivity,participant_count,median_balanced_accuracy,bootstrap_median_ci_lower,bootstrap_median_ci_upper,q25_balanced_accuracy,q75_balanced_accuracy,minimum_balanced_accuracy,maximum_balanced_accuracy,above_0_5_count,above_0_5_fraction,at_or_above_0_6_count,at_or_above_0_6_fraction,at_or_above_0_7_count,at_or_above_0_7_fraction,median_fists_recall,median_feet_recall,median_participant_run_range,group_observational_unit
shrinkage_lda,False,20,0.5803571428571428,0.5357142857142858,0.6190476190476191,0.5319940476190477,0.6242559523809524,0.4583333333333333,0.7380952380952381,17,0.85,8,0.4,1,0.05,0.6385869565217391,0.5683229813664596,0.26339285714285715,participant
l2_logistic_regression,False,20,0.5952380952380952,0.5401785714285714,0.6175595238095238,0.5215773809523809,0.6287202380952381,0.4791666666666667,0.7351190476190476,16,0.8,8,0.4,3,0.15,0.6521739130434783,0.5573593073593074,0.21875000000000008,participant
